paper_id,token,task,round,status,decision,confidence,reasoning,promptbook_evidence,cited_rules,was_fenced,failure_kind,failure_case,detail,flagged_other_papers,raw_path,attempt,retry_eligible,terminal_status,power_decision,power_confidence,power_reasoning,power_promptbook_evidence,power_cited_rules,data_decision,data_confidence,data_reasoning,data_promptbook_evidence,data_cited_rules
72N55PAH,4395dff1263a3648,power_analysis,1,ok,yes,0.75,"Sample size calc used cluster randomization score test with 20 clusters of 5 each and effect size, accounting for clustering; no restricted randomization present.",P7,P7,False,,,,,results\04_classification\raw\power_analysis_v1_r1\4395dff1263a3648.attempt1.jsonl,1,,,,,,,,,,,,
84YU8UCD,794745ffad9278cd,power_analysis,1,ok,no,0.75,"Power calc used ICC and cluster count (clustering handled), but randomization was stratified/block-constrained by health system with no accounting for that correlation.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\794745ffad9278cd.attempt1.jsonl,1,,,,,,,,,,,,
2RDD8DGI,c80f45278449c0cd,power_analysis,1,ok,no,0.75,"Sites were stratified by type/ethnicity (restricted randomization) but power calc only used ICC=0.001, no stratum correlation accounted for.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\c80f45278449c0cd.attempt2.jsonl,2,,,,,,,,,,,,
UPVYYFVQ,2d728052b000b35c,power_analysis,1,ok,no,0.85,"Sample size calc uses individual-level SD (500 kcal), no ICC/design effect/cluster count despite family-level clustering unit.",P8,P8,False,,,,,results\04_classification\raw\power_analysis_v1_r1\2d728052b000b35c.attempt2.jsonl,2,,,,,,,,,,,,
UMV6NC2L,d36e0442d48e8689,power_analysis,1,ok,no,0.72,"ICC-based sample size accounts for clustering, but minimization algorithm (restricted randomization) is not reflected in the power calculation at all.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\d36e0442d48e8689.attempt2.jsonl,2,,,,,,,,,,,,
WD74R75C,3aa068170061f447,power_analysis,1,ok,no,0.75,Power stated as '>95% power to detect 5pp with 19 practices/arm' with no ICC/design effect; restricted randomization (stratified) not accounted for either.,P5,P5,False,,,,,results\04_classification\raw\power_analysis_v1_r1\3aa068170061f447.attempt2.jsonl,2,,,,,,,,,,,,
9DKJKFAS,58227bad98f78733,power_analysis,1,ok,no,0.72,"Clusters pair-matched within size strata (P10), but sample size uses only ICC/CV, no matching correlation accounted for (P11/P12).",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\58227bad98f78733.attempt2.jsonl,2,,,,,,,,,,,,
H7N83IW2,d33986eafbee06a0,power_analysis,1,ok,no,0.72,"Randomization stratified by department (P10) but power calc only uses ICC/cluster count; no stratum correlation accounted, per P12.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\d33986eafbee06a0.attempt2.jsonl,2,,,,,,,,,,,,
LU33978L,f3dfaa6e010ea112,power_analysis,1,ok,yes,0.75,"Sample size used 3 clusters/arm and ICC=0.04, satisfying P4-P7. No matching/stratification reported, so restriction criteria don't apply.",P7,P7,False,,,,,results\04_classification\raw\power_analysis_v1_r1\f3dfaa6e010ea112.attempt2.jsonl,2,,,,,,,,,,,,
TEXLFQSL,df85843d1c9b404e,power_analysis,1,ok,no,0.62,"ICC and cluster count used for power, but physician randomization was stratified by gender/experience/discipline; stratification effect not incorporated in sample size calc.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\df85843d1c9b404e.attempt2.jsonl,2,,,,,,,,,,,,
VMHXT33Z,2c45e8be4a12bedc,power_analysis,1,ok,no,0.72,"Sample size/power calc deferred to supplemental appendix, not in manuscript text; no ICC, design effect, or details given in body.",P6,P6,False,,,,,results\04_classification\raw\power_analysis_v1_r1\2c45e8be4a12bedc.attempt2.jsonl,2,,,,,,,,,,,,
JCPBMIPX,c57099ea6461d4bc,power_analysis,1,ok,no,0.85,"Only states sample size 'estimated by power analysis based on cluster-randomized design' with no ICC, design effect, or cluster count detail given; matching also unaddressed.",P5,P5,False,,,,,results\04_classification\raw\power_analysis_v1_r1\c57099ea6461d4bc.attempt2.jsonl,2,,,,,,,,,,,,
FEHWGZSQ,6e64bafc0c12558a,power_analysis,1,ok,no,0.62,"Power analysis used ICC and cluster count (clustering handled) but randomization was stratified within NGOs, and this restriction was not incorporated into the power calc.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\6e64bafc0c12558a.attempt2.jsonl,2,,,,,,,,,,,,
U7PLGE75,ba50ef7cb702cf4d,power_analysis,1,ok,no,0.85,"Individual RCT randomizing patients, not clusters; sample size calc is individual-level with no ICC/design effect—not a cluster trial power analysis.",P8,P8,False,,,,,results\04_classification\raw\power_analysis_v1_r1\ba50ef7cb702cf4d.attempt2.jsonl,2,,,,,,,,,,,,
