paper_id,token,task,round,status,decision,confidence,reasoning,promptbook_evidence,cited_rules,was_fenced,failure_kind,failure_case,detail,flagged_other_papers,raw_path,attempt,retry_eligible,terminal_status,power_decision,power_confidence,power_reasoning,power_promptbook_evidence,power_cited_rules,data_decision,data_confidence,data_reasoning,data_promptbook_evidence,data_cited_rules
TBFRUAMD,1dde6d6489b6cf5c,power_analysis,1,ok,no,0.75,"Randomization was stratified by health system, but power calc only uses ICC/cluster size, ignoring stratification-induced correlation.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\1dde6d6489b6cf5c.attempt1.jsonl,1,,,,,,,,,,,,
BW2B5H9P,eaafddb0becf82e2,power_analysis,1,ok,no,0.85,"Sample size gives 88% power for 4mmHg difference with n=480 individuals, no ICC, design effect, or cluster count used—individual-level calculation ignoring clustering.",P8,P8,False,,,,,results\04_classification\raw\power_analysis_v1_r1\eaafddb0becf82e2.attempt1.jsonl,1,,,,,,,,,,,,
DCYTWR4N,5dd036f4e179de29,power_analysis,1,ok,no,0.9,"No sample size/power justification described anywhere in manuscript; absent, not undecidable.",P6,P6,False,,,,,results\04_classification\raw\power_analysis_v1_r1\5dd036f4e179de29.attempt1.jsonl,1,,,,,,,,,,,,
72N55PAH,4395dff1263a3648,power_analysis,1,ok,yes,0.75,"Sample size calc used cluster randomization score test with 20 clusters of 5 each and effect size, accounting for clustering; no restricted randomization present.",P7,P7,False,,,,,results\04_classification\raw\power_analysis_v1_r1\4395dff1263a3648.attempt1.jsonl,1,,,,,,,,,,,,
84YU8UCD,794745ffad9278cd,power_analysis,1,ok,no,0.75,"Power calc used ICC and cluster count (clustering handled), but randomization was stratified/block-constrained by health system with no accounting for that correlation.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\794745ffad9278cd.attempt1.jsonl,1,,,,,,,,,,,,
UMV6NC2L,08d269ab3b888e8b,power_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\power_analysis_v1_r1\08d269ab3b888e8b.attempt1.jsonl,1,yes,,,,,,,,,,,
WD74R75C,cb8151b42ed4674a,power_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\power_analysis_v1_r1\cb8151b42ed4674a.attempt1.jsonl,1,yes,,,,,,,,,,,
9DKJKFAS,8f165dcccd35a48c,power_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\power_analysis_v1_r1\8f165dcccd35a48c.attempt1.jsonl,1,yes,,,,,,,,,,,
H7N83IW2,576a8d88514686f4,power_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\power_analysis_v1_r1\576a8d88514686f4.attempt1.jsonl,1,yes,,,,,,,,,,,
LU33978L,7b89aea833a314fd,power_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\power_analysis_v1_r1\7b89aea833a314fd.attempt1.jsonl,1,yes,,,,,,,,,,,
TEXLFQSL,a65557f9bc13a7eb,power_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\power_analysis_v1_r1\a65557f9bc13a7eb.attempt1.jsonl,1,yes,,,,,,,,,,,
VMHXT33Z,2d8a117b03d5218b,power_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\power_analysis_v1_r1\2d8a117b03d5218b.attempt1.jsonl,1,yes,,,,,,,,,,,
JCPBMIPX,b3f4577fe948f060,power_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\power_analysis_v1_r1\b3f4577fe948f060.attempt1.jsonl,1,yes,,,,,,,,,,,
FEHWGZSQ,7139a9df1cd0d5cf,power_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\power_analysis_v1_r1\7139a9df1cd0d5cf.attempt1.jsonl,1,yes,,,,,,,,,,,
U7PLGE75,242ca4b85161ce09,power_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\power_analysis_v1_r1\242ca4b85161ce09.attempt1.jsonl,1,yes,,,,,,,,,,,
