removed_paper_id,matched_validation_paper_id,matched_on,pdf_bytes_identical,doi,pmid,pmcid,year,journal,nih_institute_folder,validation_group,removed_verdict,validation_verdict,removed_md5,validation_md5,title
3VCQS3N8,KCV63L9X,DOI,False,10.1016/j.jchf.2023.11.002,38043045,PMC12290891,2024,JACC. Heart failure,NCATS,NHLBI,VERIFIED,VERIFIED,f5108a687dfe996cb59bdaea5973e3b3,f93f4674f1c580c02af4d440884a78e5,Impact of Visit Volume on the Effectiveness of Electronic Tools to Improve Heart Failure Care.
5G5828ED,RHQWSFTR,DOI,False,10.1177/09622802231172026,37284817,PMC11020688,2023,Statistical methods in medical research,NCATS,NCI,VERIFIED,VERIFIED,afc6c80349a6639ae42d195a816d9b1c,4f28840b626d26a448abbf7ee5954c00,An overview of optimal designs under a given budget in cluster randomized trials with a binary outcome.
Y729FR8I,EZW26HK2,DOI,False,10.1001/jamanetworkopen.2023.34646,37747734,PMC10520739,2023,JAMA network open,NCATS,NHLBI,VERIFIED,VERIFIED,4b06630da1cd61235db618ebca255511,da801981920c3dc773368e5e4bc56b12,A Multifaceted Implementation Strategy to Increase Out-of-Office Blood Pressure Monitoring: The EMBRACE Cluster Randomized Clinical Trial.
6W27JB54,6XFGQN39,DOI,True,10.1186/s13063-020-04463-3,32527322,PMC7291479,2020,Trials,NCATS,NCI,VERIFIED,VERIFIED,92c9dd133c67be72d69882eab23443bf,92c9dd133c67be72d69882eab23443bf,Enhanced care planning and clinical-community linkages versus usual care to address basic needs of patients with multiple chronic conditions: a  clinician-level randomized controlled trial.
Z3NEV3AG,VMHXT33Z,DOI,False,10.1016/j.ahj.2022.02.010,35218727,PMC11348720,2022,American heart journal,NCATS,NHLBI,VERIFIED,VERIFIED,1c666b795fb954d4598525292312897f,1aeff0fce0838ce27eb20e720adbe264,Randomized evaluation of decision support interventions for atrial fibrillation: Rationale and design of the RED-AF study.
PALJMQS6,XA8RYYSR,DOI,True,10.5888/pcd17.190353,32352912,PMC7207051,2020,Preventing chronic disease,NCATS,NCI,VERIFIED,VERIFIED,9acff0f673958ca9c37fad2bcc6562ee,9acff0f673958ca9c37fad2bcc6562ee,A Cluster Randomized Controlled Trial of a Lay Health Worker Intervention to Increase Healthy Eating and Physical Activity Among Vietnamese Americans.
7CGAHFHD,S89CIJ46,DOI,True,10.3390/nu16060805,38542716,PMC10974327,2024,Nutrients,NCATS,NHLBI,VERIFIED,VERIFIED,c34cf7f8f1195f6ca5eca5ccf6626ce3,c34cf7f8f1195f6ca5eca5ccf6626ce3,Effect of a Multicomponent Food Pantry Intervention in Client Subgroups.
UIDUTSZL,M8CXW6PU,DOI,False,10.1016/j.japh.2023.08.014,37611896,PMC10900124,2023,Journal of the American Pharmacists Association : JAPhA,NCATS,NHLBI,VERIFIED,VERIFIED,424cad1e0d5729fad51b0438c9db4bcf,52f20f239629cd9be5f860dc964f6693,Clinical and economic effectiveness of a pharmacy and primary care collaborative transition of care program.
5M5EWTXL,MPJA6L2H,DOI,False,10.1111/josh.12810,31257605,PMC6684797,2019,The Journal of school health,NCATS,NHLBI,VERIFIED,VERIFIED,97f8b89f674a3e08ada573eb772eb137,08a092470cd6f008eba16dbff070393e,Breakfast Is Brain Food? The Effect on Grade Point Average of a Rural Group Randomized Program to Promote School Breakfast.
7A7DGTFA,6XSR8DVR,DOI,False,10.1097/ta.0000000000003551,35081595,PMC9038638,2022,The journal of trauma and acute care surgery,NCATS,NHLBI,VERIFIED,VERIFIED,7cf661261c5d15afede9bd1f28f20cdc,233ba071aabdb81ba29bbc92be100371,Prehospital low titer group O whole blood is feasible and safe: Results of a prospective randomized pilot trial.
9T7P8H5G,EAJAKXKC,DOI,True,10.1002/pon.4710,29575388,PMC6103535,2018,Psycho-oncology,NCATS,NCI,VERIFIED,VERIFIED,86211538e199e23fc8cd47c6cbc81489,86211538e199e23fc8cd47c6cbc81489,The ecology of patient and caregiver participation in consultations involving advanced cancer.
96UKX43M,IDKFPWGH,DOI,True,10.1007/s11121-019-01067-5,31925605,PMC7058497,2020,Prevention science : the official journal of the Society for Prevention Research,NCATS,NHLBI,VERIFIED,VERIFIED,848db02630ced675cb720ec889075580,848db02630ced675cb720ec889075580,A Cluster Randomized Trial of a Community-Based Intervention Among African-American Adults: Effects on Dietary and Physical Activity Outcomes.
E3IREKY2,JSRXWSXE,DOI,True,10.1016/j.conctc.2021.100808,34189339,PMC8220316,2021,Contemporary clinical trials communications,NCATS,NCI,VERIFIED,VERIFIED,d11bdfd175c20c82bf6a2d409dac0b28,d11bdfd175c20c82bf6a2d409dac0b28,Addressing cancer survivors' cardiovascular health using the automated heart health assessment (AH-HA) EHR tool: Initial protocol and modifications to address  COVID-19 challenges.
YUAM3VKF,UHEKLJLC,DOI,False,10.1093/abm/kaad060,37857305,PMC10831215,2024,Annals of behavioral medicine : a publication of the Society of Behavioral Medicine,NCATS,NHLBI,VERIFIED,VERIFIED,639fa90d2e544076ffc096fb8266cde6,6a534db0b5c270a25b3d17b2e15c285a,A Cluster-Randomized Evaluation of the SuperShelf Intervention in Choice-Based Food Pantries.
I7FXIK32,F9X8Z6SZ,DOI,False,10.1016/j.cct.2023.107266,37301468,PMC10528011,2023,Contemporary clinical trials,NCATS,NCI,VERIFIED,VERIFIED,b52c1458031c9559d6f587c9a157a7e9,06e08af1dd2910e3d27b076dc5c6d3f4,Increasing the adoption of evidence-based communication practices for HPV vaccination in primary care clinics: The HPV ECHO study protocol for a cluster  randomized controlled trial.
MNPPUABA,I7VKXNIC,DOI,False,10.1097/hco.0000000000000674,31425171,PMC8409221,2019,Current opinion in cardiology,NCATS,NHLBI,VERIFIED,VERIFIED,967b7c6aff4b3e8e544e6db03afaf25b,3c8d592e2d56c334cafa1325bbc24a48,Sustainability of blood pressure reduction in black barbershops.
8G9N5B5B,SUANA8ET,DOI,True,10.1186/s13063-019-4027-7,31941527,PMC6964086,2020,Trials,NCCIH,NCI,VERIFIED,VERIFIED,1cb3723ac75019ba8e3024aaf28ddeb5,1cb3723ac75019ba8e3024aaf28ddeb5,Moderators of the effectiveness of an intervention to increase colorectal cancer screening through mailed fecal immunochemical test kits: results from a pragmatic  randomized trial.
TZZP2GMX,X9X3VGJK,DOI,True,10.1016/j.ypmed.2019.01.014,30685318,PMC6392039,2019,Preventive medicine,NCCIH,NCI,VERIFIED,VERIFIED,c7eb5c856a9c38042b5e5c5de7f2724a,c7eb5c856a9c38042b5e5c5de7f2724a,A cost-effectiveness analysis of a colorectal cancer screening program in safety net clinics.
Z7AH5NE4,KJQKEW8Y,DOI,False,10.1001/jamainternmed.2018.3629,30083752,PMC6142956,2018,JAMA internal medicine,NCCIH,NCI,VERIFIED,VERIFIED,f28db98174daf2e6831068e46eee0d1b,6cad86517cf6003c81ff506c071de39f,Effectiveness of a Mailed Colorectal Cancer Screening Outreach Program in Community Health Clinics: The STOP CRC Cluster Randomized Clinical Trial.
RVGHTCUQ,FDVX9XTR,DOI,False,10.1016/j.jen.2021.05.007,34301422,PMC9924131,2021,Journal of emergency nursing,NIA; NIEHS,NHLBI,VERIFIED,VERIFIED,e4b8af6006ec3a40ebf87ad8fc232a76,85ca392339887d26aee77a90af5f7fa8,System Level Informatics to Improve Triage Practices for Sickle Cell Disease Vaso-Occlusive Crisis: A Cluster Randomized Controlled Trial.
9FSNPZT8,NQ4Y7FIA,DOI,False,10.1037/ocp0000104,29215909,PMC5991990,2019,Journal of occupational health psychology,NIA; NICHD,NHLBI,VERIFIED,VERIFIED,864e8bc9d9fe2ae49cd019edb6fae61f,4188b2b2193d2202250af77e648cd45e,Caring for the elderly at work and home: Can a randomized organizational intervention improve psychological health?
NQSS6ZME,W75ICDYI,DOI,False,10.1002/cncr.32188,31145833,PMC6717015,2019,Cancer,NIA; NIGMS,NCI,VERIFIED,VERIFIED,f6a47ecb267eecd77a2fe2459d0f4b64,af2d6e10b5a1babd737bfeb942004dcc,Association between advanced cancer patient-caregiver agreement regarding prognosis and hospice enrollment.
