dropped_at,paper_id,source_row,citation_raw,cite_key,pdf_moved_to,extracted_text_moved_to,reason
2026-08-17T16:56:32+00:00,Y526PL9L,145,Takada et al.,takadaProtocolType32025,data\removed_pdfs\nhlbi_unreviewed\Y526PL9L.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\Y526PL9L.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,NPK22LGL,146,Tan et al.,tanTELEhealthSharedDecisionmaking2024,data\removed_pdfs\nhlbi_unreviewed\NPK22LGL.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\NPK22LGL.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,HKJXZKTF,148,Victor et al.,victorClusterRandomizedTrialBloodPressure2018,data\removed_pdfs\nhlbi_unreviewed\HKJXZKTF.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\HKJXZKTF.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,RZ7YH2DN,149,Vinson et al.,vinsonDecisionSupportIntervention2024,data\removed_pdfs\nhlbi_unreviewed\RZ7YH2DN.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\RZ7YH2DN.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,TVL564PH,151,Ward et al.,wardKeysHealthyFamily2020,data\removed_pdfs\nhlbi_unreviewed\TVL564PH.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\TVL564PH.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,MQ5HUF7T,152,Warner et al.,warnerPracticalAnemiaBundle2025,data\removed_pdfs\nhlbi_unreviewed\MQ5HUF7T.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\MQ5HUF7T.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,KQHQ9KMW,153,Wilfley et al.,wilfleyTrainingModelsImplementing2020,data\removed_pdfs\nhlbi_unreviewed\KQHQ9KMW.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\KQHQ9KMW.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,7UB2532H,154,Williams et al.,williamsProtocolPaperStepped2020,data\removed_pdfs\nhlbi_unreviewed\7UB2532H.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\7UB2532H.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,2MCVHA74,155,Wright et al.,wrightCommunityMobilisationAdoption2025,data\removed_pdfs\nhlbi_unreviewed\2MCVHA74.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\2MCVHA74.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,IKEB2FHD,156,Wright et al.,wrightReducingPaediatricOverweight2020,data\removed_pdfs\nhlbi_unreviewed\IKEB2FHD.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\IKEB2FHD.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,TZF282NC,157,Yawn et al.,yawnUseAsthmaAPGAR2018,data\removed_pdfs\nhlbi_unreviewed\TZF282NC.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\TZF282NC.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,QQRYLPB6,159,Yuan et al.,yuanAchievingCardiovascularHealth2025,data\removed_pdfs\nhlbi_unreviewed\QQRYLPB6.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\QQRYLPB6.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
