reviewed_at,paper_id,set,decision,old_verdict,new_verdict,new_pdf_source,notes,doi,pmid,title
2026-08-12T00:27:25+00:00,DBT2TU6U,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\publichealth-2022-9-e30372.pdf,,10.2196/30372,36121686,Effectiveness of Cash Transfer Delivered Along With Combination HIV Prevention Interventions in Reducing the Risky Sexual Behavior of Adolescent Girls and Young  Women in Tanzania: Cluster Randomized Controlled Trial.
2026-08-12T00:28:11+00:00,DY89L5PP,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2021-12-e33695.pdf,,10.2196/33695,34914618,Harnessing Innovative Technologies to Train Nurses in Suicide Safety Planning With Hospitalized Patients: Protocol for Formative and Pilot Feasibility  Research.
2026-08-12T00:28:40+00:00,EYG252Z5,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2024-1-e51660.pdf,,10.2196/51660,38252481,Seasonal Malaria Chemoprevention Therapy in Children Up To 9 Years of Age: Protocol for a Cluster-Randomized Trial Study.
2026-08-12T00:29:18+00:00,H6A7ZU2Q,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2022-10-e40101.pdf,,10.2196/40101,36197706,A Multilevel Integrated Intervention to Reduce the Impact of HIV Stigma on HIV Treatment Outcomes Among Adolescents Living With HIV in Uganda: Protocol for a  Randomized Controlled Trial.
2026-08-12T00:29:39+00:00,IB825UX2,validation,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2021-11-e33183.pdf,,10.2196/33183,34787590,Evaluating the Efficacy of Automated Smoking Treatment for People With HIV: Protocol for a Randomized Controlled Trial
2026-08-12T00:30:29+00:00,LLZYSRKB,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2023-1-e43986.pdf,,10.2196/43986,36716301,Cross-Tailoring Integrative Alcohol and Risky Sexual Behavior Feedback for College Students: Protocol for a Hybrid Type 1 Effectiveness-Implementation  Trial.
2026-08-12T00:31:10+00:00,LNE655AM,validation,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2023-1-e48923.pdf,,10.2196/48923,37384390,Ending Tobacco Use Through Interactive Tailored Messaging for Cambodian People With HIV (Project EndIT): Protocol for a Randomized Controlled Trial
2026-08-12T00:31:41+00:00,NEFAHCCF,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\medinform-2021-3-e24359.pdf,,10.2196/24359,33749610,Applying Clinical Decision Support Design Best Practices With the Practical Robust Implementation and Sustainability Model Versus Reliance on Commercially  Available Clinical Decision Support Tools: Randomized Controlled Trial.
2026-08-12T00:32:14+00:00,NYT8TV5W,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2021-10-e28723.pdf,,10.2196/28723,34704959,A Behavioral Economics-Electronic Health Record Module to Promote Appropriate Diabetes Management in Older Adults: Protocol for a Pragmatic Cluster Randomized  Controlled Trial.
2026-08-12T00:32:39+00:00,QITZ472M,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2021-4-e24342.pdf,,10.2196/24342,33843594,De-Implementing Opioid Use and Implementing Optimal Pain Management Following Dental Extractions (DIODE): Protocol for a Cluster Randomized Trial.
