paper_id,token,task,round,promptbook_version,model,attempt,exit_code,duration_seconds,raw_path,started_at
NQ4Y7FIA,66d3f8b992f92766,power_analysis,1,v1,claude-sonnet-5,1,0,3.34,results\04_classification\raw\power_analysis_v1_r1\66d3f8b992f92766.attempt1.jsonl,2026-08-28T23:56:21+00:00
BLWKH6C8,cb3a5b17641dd5c0,power_analysis,1,v1,claude-sonnet-5,1,0,3.81,results\04_classification\raw\power_analysis_v1_r1\cb3a5b17641dd5c0.attempt1.jsonl,2026-08-28T23:56:25+00:00
C69UAKKB,cf14a6ea26bfd1cf,power_analysis,1,v1,claude-sonnet-5,1,0,5.53,results\04_classification\raw\power_analysis_v1_r1\cf14a6ea26bfd1cf.attempt1.jsonl,2026-08-28T23:56:31+00:00
FHVQQIX3,f54980e668138138,power_analysis,1,v1,claude-sonnet-5,1,0,3.7,results\04_classification\raw\power_analysis_v1_r1\f54980e668138138.attempt1.jsonl,2026-08-28T23:56:34+00:00
4GUDDLNQ,6425305c44332041,power_analysis,1,v1,claude-sonnet-5,1,0,6.66,results\04_classification\raw\power_analysis_v1_r1\6425305c44332041.attempt1.jsonl,2026-08-28T23:56:41+00:00
B3KTU9TU,b2caec83ff3c6aa3,power_analysis,1,v1,claude-sonnet-5,1,0,5.75,results\04_classification\raw\power_analysis_v1_r1\b2caec83ff3c6aa3.attempt1.jsonl,2026-08-28T23:56:47+00:00
WY9D5UIK,57743291d7ac1932,power_analysis,1,v1,claude-sonnet-5,1,0,3.83,results\04_classification\raw\power_analysis_v1_r1\57743291d7ac1932.attempt1.jsonl,2026-08-28T23:56:51+00:00
SGCHKJTH,52df9b78c620d672,power_analysis,1,v1,claude-sonnet-5,1,0,3.64,results\04_classification\raw\power_analysis_v1_r1\52df9b78c620d672.attempt1.jsonl,2026-08-28T23:56:54+00:00
DFJE8ALD,982c42d9a13b5f8c,power_analysis,1,v1,claude-sonnet-5,1,0,5.3,results\04_classification\raw\power_analysis_v1_r1\982c42d9a13b5f8c.attempt1.jsonl,2026-08-28T23:57:00+00:00
9LTSBSEE,02df2544984b0cb0,power_analysis,1,v1,claude-sonnet-5,1,0,3.53,results\04_classification\raw\power_analysis_v1_r1\02df2544984b0cb0.attempt1.jsonl,2026-08-28T23:57:03+00:00
IPR6QU8P,66bc5344865d7182,power_analysis,1,v1,claude-sonnet-5,1,0,3.5,results\04_classification\raw\power_analysis_v1_r1\66bc5344865d7182.attempt1.jsonl,2026-08-28T23:57:07+00:00
SH5J2R2J,c132213e1d024c3d,power_analysis,1,v1,claude-sonnet-5,1,0,5.2,results\04_classification\raw\power_analysis_v1_r1\c132213e1d024c3d.attempt1.jsonl,2026-08-28T23:57:12+00:00
UHEKLJLC,2c735c5e5ac78638,power_analysis,1,v1,claude-sonnet-5,1,0,5.2,results\04_classification\raw\power_analysis_v1_r1\2c735c5e5ac78638.attempt1.jsonl,2026-08-28T23:57:17+00:00
TGSIADX6,b57cdae87ba69d35,power_analysis,1,v1,claude-sonnet-5,1,0,4.72,results\04_classification\raw\power_analysis_v1_r1\b57cdae87ba69d35.attempt1.jsonl,2026-08-28T23:57:22+00:00
BR4Y6FSS,d556d69856a2357c,power_analysis,1,v1,claude-sonnet-5,1,0,3.59,results\04_classification\raw\power_analysis_v1_r1\d556d69856a2357c.attempt1.jsonl,2026-08-28T23:57:25+00:00
26LDPI8G,89c10d372dc2a311,power_analysis,1,v1,claude-sonnet-5,1,0,4.56,results\04_classification\raw\power_analysis_v1_r1\89c10d372dc2a311.attempt1.jsonl,2026-08-28T23:57:30+00:00
7M6ST2JQ,640a4c8248ea51b6,power_analysis,1,v1,claude-sonnet-5,1,0,17.53,results\04_classification\raw\power_analysis_v1_r1\640a4c8248ea51b6.attempt1.jsonl,2026-08-28T23:57:47+00:00
L8CPLJYW,82afa061a90c9c8b,power_analysis,1,v1,claude-sonnet-5,1,0,6.03,results\04_classification\raw\power_analysis_v1_r1\82afa061a90c9c8b.attempt1.jsonl,2026-08-28T23:57:54+00:00
TBFRUAMD,1dde6d6489b6cf5c,power_analysis,1,v1,claude-sonnet-5,1,0,5.92,results\04_classification\raw\power_analysis_v1_r1\1dde6d6489b6cf5c.attempt1.jsonl,2026-08-28T23:57:59+00:00
BW2B5H9P,eaafddb0becf82e2,power_analysis,1,v1,claude-sonnet-5,1,0,4.91,results\04_classification\raw\power_analysis_v1_r1\eaafddb0becf82e2.attempt1.jsonl,2026-08-28T23:58:04+00:00
DCYTWR4N,5dd036f4e179de29,power_analysis,1,v1,claude-sonnet-5,1,0,3.36,results\04_classification\raw\power_analysis_v1_r1\5dd036f4e179de29.attempt1.jsonl,2026-08-28T23:58:08+00:00
72N55PAH,4395dff1263a3648,power_analysis,1,v1,claude-sonnet-5,1,0,3.38,results\04_classification\raw\power_analysis_v1_r1\4395dff1263a3648.attempt1.jsonl,2026-08-28T23:58:11+00:00
84YU8UCD,794745ffad9278cd,power_analysis,1,v1,claude-sonnet-5,1,0,5.39,results\04_classification\raw\power_analysis_v1_r1\794745ffad9278cd.attempt1.jsonl,2026-08-28T23:58:17+00:00
UMV6NC2L,08d269ab3b888e8b,power_analysis,1,v1,claude-sonnet-5,1,1,1.84,results\04_classification\raw\power_analysis_v1_r1\08d269ab3b888e8b.attempt1.jsonl,2026-08-28T23:58:18+00:00
WD74R75C,cb8151b42ed4674a,power_analysis,1,v1,claude-sonnet-5,1,1,1.75,results\04_classification\raw\power_analysis_v1_r1\cb8151b42ed4674a.attempt1.jsonl,2026-08-28T23:58:20+00:00
9DKJKFAS,8f165dcccd35a48c,power_analysis,1,v1,claude-sonnet-5,1,1,1.7,results\04_classification\raw\power_analysis_v1_r1\8f165dcccd35a48c.attempt1.jsonl,2026-08-28T23:58:22+00:00
H7N83IW2,576a8d88514686f4,power_analysis,1,v1,claude-sonnet-5,1,1,1.83,results\04_classification\raw\power_analysis_v1_r1\576a8d88514686f4.attempt1.jsonl,2026-08-28T23:58:24+00:00
LU33978L,7b89aea833a314fd,power_analysis,1,v1,claude-sonnet-5,1,1,1.75,results\04_classification\raw\power_analysis_v1_r1\7b89aea833a314fd.attempt1.jsonl,2026-08-28T23:58:25+00:00
TEXLFQSL,a65557f9bc13a7eb,power_analysis,1,v1,claude-sonnet-5,1,1,1.77,results\04_classification\raw\power_analysis_v1_r1\a65557f9bc13a7eb.attempt1.jsonl,2026-08-28T23:58:27+00:00
VMHXT33Z,2d8a117b03d5218b,power_analysis,1,v1,claude-sonnet-5,1,1,1.86,results\04_classification\raw\power_analysis_v1_r1\2d8a117b03d5218b.attempt1.jsonl,2026-08-28T23:58:29+00:00
JCPBMIPX,b3f4577fe948f060,power_analysis,1,v1,claude-sonnet-5,1,1,1.78,results\04_classification\raw\power_analysis_v1_r1\b3f4577fe948f060.attempt1.jsonl,2026-08-28T23:58:31+00:00
FEHWGZSQ,7139a9df1cd0d5cf,power_analysis,1,v1,claude-sonnet-5,1,1,1.83,results\04_classification\raw\power_analysis_v1_r1\7139a9df1cd0d5cf.attempt1.jsonl,2026-08-28T23:58:33+00:00
U7PLGE75,242ca4b85161ce09,power_analysis,1,v1,claude-sonnet-5,1,1,1.75,results\04_classification\raw\power_analysis_v1_r1\242ca4b85161ce09.attempt1.jsonl,2026-08-28T23:58:35+00:00
