paper_id,set,stage,removed_from,reason,evidence,decided_by,decided_at,source_record,title
Z49RK7S3,testing,cross_set_duplicate,corpus,"same paper as validation W2VQEXEG, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,"Medical assistant health coaching (""MAC"") for type 2 diabetes in diverse primary care settings: A pragmatic, cluster-randomized controlled trial protocol."
4SMC3YCR,testing,cross_set_duplicate,corpus,"same paper as validation WGQGTBTE, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Dulce Digital-Me: protocol for a randomized controlled trial of an adaptive mHealth intervention for underserved Hispanics with diabetes.
LNJRE9FB,testing,cross_set_duplicate,corpus,"same paper as validation Y5J6YZK2, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Engaging diverse midlife and older adults in a multilevel participatory physical activity intervention: evaluating impacts using Ripple Effects Mapping.
ZCN2GW5H,testing,cross_set_duplicate,corpus,"same paper as validation 4EYIVLJR, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Process evaluation of a medical assistant health coaching intervention for type 2 diabetes in diverse primary care settings.
TXGVITEJ,testing,cross_set_duplicate,corpus,"same paper as validation RUYVCGHY, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Targeting Sedentary Behavior in CKD: A Pilot and Feasibility Randomized Controlled Trial.
5XST2QLS,testing,cross_set_duplicate,corpus,"same paper as validation EBWFU9KS, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Assessment of COVID-19 Messaging Strategies to Increase Testing for Students With Intellectual and Developmental Disabilities.
EMQMPLJ5,testing,cross_set_duplicate,corpus,"same paper as validation G78NBYUH, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Disseminating and implementing a lifestyle-based healthy weight program for mothers in a national organization: a study protocol for a cluster randomized  trial.
MEWCCWRY,testing,cross_set_duplicate,corpus,"same paper as validation 8MGIPU3P, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Incorporating systems-level stakeholder perspectives into the clinical trial design of school-supervised asthma therapy.
QSSAN7UI,testing,cross_set_duplicate,corpus,"same paper as validation ABV8X64G, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,"Impact of the Out-of-School Nutrition and Physical Activity (OSNAP) Group Randomized Controlled Trial on Children's Food, Beverage, and Calorie Consumption  among Snacks Served."
ZIW6MP95,testing,cross_set_duplicate,corpus,"same paper as validation UJB4QA99, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,The Relationship Between Frailty and Emotional Health in Older Patients with Advanced Cancer.
2UTZGV6B,testing,cross_set_duplicate,corpus,"same paper as validation VPCPTPZL, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Using Geriatric Assessment to Guide Conversations Regarding Comorbidities Among Older Patients With Advanced Cancer.
CBXHYRH6,testing,cross_set_duplicate,corpus,"same paper as validation 8NC76BQP, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Effect of Hospitalizations on Physical Activity Patterns in Mobility-Limited Older Adults.
ZJVGPCQS,testing,cross_set_duplicate,corpus,"same paper as validation KESZW83P, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Balanced Crystalloids versus Saline in Critically Ill Adults.
SHZWCASA,testing,cross_set_duplicate,corpus,"same paper as validation LU33978L, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Improving Communication in Heart Failure Patient Care.
K6ICH5QI,testing,cross_set_duplicate,corpus,"same paper as validation C9R7RUUN, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Hierarchical Bayesian modeling of heterogeneous outcome variance in cluster randomized trials.
NRBW33RG,testing,cross_set_duplicate,corpus,"same paper as validation XEKC6EFN, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Reversing the Cardiac Effects of Sedentary Aging in Middle Age-A Randomized Controlled Trial: Implications For Heart Failure Prevention.
KVYE5RWF,testing,cross_set_duplicate,corpus,"same paper as validation NESLQUNP, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Balanced Crystalloids versus Saline in Critically Ill Adults.
32XV68PT,testing,cross_set_duplicate,corpus,"same paper as validation 36I94AIH, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Protocol for a cluster-randomized trial of a school-based skin cancer preventive intervention for adolescents.
DH6IG7JY,testing,cross_set_duplicate,corpus,"same paper as validation HKJXZKTF, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,A Cluster-Randomized Trial of Blood-Pressure Reduction in Black Barbershops.
S3NDM3VQ,testing,cross_set_duplicate,corpus,"same paper as validation E2MNEMB8, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Sustainability of Blood Pressure Reduction in Black Barbershops.
TWYU2VCY,testing,cross_set_duplicate,corpus,"same paper as validation 9LTSBSEE, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Effect of Training Pediatric Clinicians in Human Papillomavirus Communication Strategies on Human Papillomavirus Vaccination Rates: A Cluster Randomized  Clinical Trial.
VXKNB5DX,testing,cross_set_duplicate,corpus,"same paper as validation 5CPW9STM, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,"Successful Trial of Practice Facilitation for Plan, Do, Study, Act Quality Improvement."
N35XJ5YV,testing,cross_set_duplicate,corpus,"same paper as validation YHKIB4RS, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Oxygen-Saturation Targets for Critically Ill Adults Receiving Mechanical Ventilation.
HA58JB25,testing,cross_set_duplicate,corpus,"same paper as validation U9LEIXXF, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Clinical Effects of Balanced Crystalloids vs Saline in Adults With Diabetic Ketoacidosis: A Subgroup Analysis of Cluster Randomized Clinical Trials.
KHHFUXBI,testing,cross_set_duplicate,corpus,"same paper as validation 8NX9CDB5, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,"The Head and Neck Survivorship Tool (HN-STAR) Trial (WF-1805CD): A protocol for a cluster-randomized, hybrid effectiveness-implementation, pragmatic trial to  improve the follow-up care of head and neck cancer survivors."
8YQN99UA,testing,cross_set_duplicate,corpus,"same paper as validation YKCJ78UM, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Study protocol: a cluster randomized trial to evaluate the effectiveness and implementation of onsite GeneXpert testing at community health centers in Uganda  (XPEL-TB).
CSI9YBL2,testing,cross_set_duplicate,corpus,"same paper as validation LGEECHQM, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,A mHealth intervention to preserve and promote ideal cardiovascular health in college students: Design and protocol of a cluster randomized controlled trial.
PDUGS7DP,testing,cross_set_duplicate,corpus,"same paper as validation IT2B87LL, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,"A cluster randomized controlled trial for a multi-level, clinic-based smoking cessation program with women in Appalachian communities: study protocol for the  ""Break Free"" program."
TZAGY4NU,testing,cross_set_duplicate,corpus,"same paper as validation DJE2PNQA, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,A randomized study to prevent lymphedema in women treated for breast cancer: CALGB 70305 (Alliance).
CM3Z8D7D,testing,cross_set_duplicate,corpus,"same paper as validation DEKG3YAI, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,A Group Randomized Trial to Reduce Obesity among Appalachian Church Members: The Walk by Faith Study.
H2EMVC97,testing,cross_set_duplicate,corpus,"same paper as validation GYRIVJLS, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Robotic versus Electromagnetic bronchoscopy for pulmonary LesIon AssessmeNT: the RELIANT pragmatic randomized trial.
88MUVGL7,testing,cross_set_duplicate,corpus,"same paper as validation Q2S96SJ9, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Strategies to improve the recruitment and retention of underserved children and families in clinical trials: A case example of a school-supervised asthma therapy  pilot.
M46JBV2K,testing,cross_set_duplicate,corpus,"same paper as validation BZHD4F63, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Health-related quality of life outcomes for the LEAP study-CALGB 70305 (Alliance): A lymphedema prevention intervention trial for newly diagnosed breast  cancer patients.
LWBEKQXY,testing,cross_set_duplicate,corpus,"same paper as validation PKIN6R35, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Association of Race and Ethnicity with Sedation Management in Pediatric Intensive Care.
IIM5LTHQ,testing,cross_set_duplicate,corpus,"same paper as validation 2BDG7GVP, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,A Group Randomized Intervention Trial Increases Participation in the School Breakfast Program in 16 Rural High Schools in Minnesota.
TDLGKW2I,testing,cross_set_duplicate,corpus,"same paper as validation L3XSIHDW, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Design and pilot implementation for the BETTER CARE-HF trial: A pragmatic cluster-randomized controlled trial comparing two targeted approaches to  ambulatory clinical decision support for cardiologists.
4GPSLLBZ,testing,cross_set_duplicate,corpus,"same paper as validation PQNBSQLX, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Cluster-Randomized Trial Comparing Ambulatory Decision Support Tools to Improve Heart Failure Care.
3VCQS3N8,testing,cross_set_duplicate,corpus,"same paper as validation KCV63L9X, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Impact of Visit Volume on the Effectiveness of Electronic Tools to Improve Heart Failure Care.
5G5828ED,testing,cross_set_duplicate,corpus,"same paper as validation RHQWSFTR, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,An overview of optimal designs under a given budget in cluster randomized trials with a binary outcome.
Y729FR8I,testing,cross_set_duplicate,corpus,"same paper as validation EZW26HK2, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,A Multifaceted Implementation Strategy to Increase Out-of-Office Blood Pressure Monitoring: The EMBRACE Cluster Randomized Clinical Trial.
6W27JB54,testing,cross_set_duplicate,corpus,"same paper as validation 6XFGQN39, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Enhanced care planning and clinical-community linkages versus usual care to address basic needs of patients with multiple chronic conditions: a  clinician-level randomized controlled trial.
Z3NEV3AG,testing,cross_set_duplicate,corpus,"same paper as validation VMHXT33Z, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Randomized evaluation of decision support interventions for atrial fibrillation: Rationale and design of the RED-AF study.
PALJMQS6,testing,cross_set_duplicate,corpus,"same paper as validation XA8RYYSR, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,A Cluster Randomized Controlled Trial of a Lay Health Worker Intervention to Increase Healthy Eating and Physical Activity Among Vietnamese Americans.
7CGAHFHD,testing,cross_set_duplicate,corpus,"same paper as validation S89CIJ46, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Effect of a Multicomponent Food Pantry Intervention in Client Subgroups.
UIDUTSZL,testing,cross_set_duplicate,corpus,"same paper as validation M8CXW6PU, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Clinical and economic effectiveness of a pharmacy and primary care collaborative transition of care program.
5M5EWTXL,testing,cross_set_duplicate,corpus,"same paper as validation MPJA6L2H, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Breakfast Is Brain Food? The Effect on Grade Point Average of a Rural Group Randomized Program to Promote School Breakfast.
7A7DGTFA,testing,cross_set_duplicate,corpus,"same paper as validation 6XSR8DVR, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Prehospital low titer group O whole blood is feasible and safe: Results of a prospective randomized pilot trial.
9T7P8H5G,testing,cross_set_duplicate,corpus,"same paper as validation EAJAKXKC, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,The ecology of patient and caregiver participation in consultations involving advanced cancer.
96UKX43M,testing,cross_set_duplicate,corpus,"same paper as validation IDKFPWGH, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,A Cluster Randomized Trial of a Community-Based Intervention Among African-American Adults: Effects on Dietary and Physical Activity Outcomes.
E3IREKY2,testing,cross_set_duplicate,corpus,"same paper as validation JSRXWSXE, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Addressing cancer survivors' cardiovascular health using the automated heart health assessment (AH-HA) EHR tool: Initial protocol and modifications to address  COVID-19 challenges.
YUAM3VKF,testing,cross_set_duplicate,corpus,"same paper as validation UHEKLJLC, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,A Cluster-Randomized Evaluation of the SuperShelf Intervention in Choice-Based Food Pantries.
I7FXIK32,testing,cross_set_duplicate,corpus,"same paper as validation F9X8Z6SZ, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Increasing the adoption of evidence-based communication practices for HPV vaccination in primary care clinics: The HPV ECHO study protocol for a cluster  randomized controlled trial.
MNPPUABA,testing,cross_set_duplicate,corpus,"same paper as validation I7VKXNIC, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Sustainability of blood pressure reduction in black barbershops.
8G9N5B5B,testing,cross_set_duplicate,corpus,"same paper as validation SUANA8ET, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Moderators of the effectiveness of an intervention to increase colorectal cancer screening through mailed fecal immunochemical test kits: results from a pragmatic  randomized trial.
TZZP2GMX,testing,cross_set_duplicate,corpus,"same paper as validation X9X3VGJK, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,A cost-effectiveness analysis of a colorectal cancer screening program in safety net clinics.
Z7AH5NE4,testing,cross_set_duplicate,corpus,"same paper as validation KJQKEW8Y, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Effectiveness of a Mailed Colorectal Cancer Screening Outreach Program in Community Health Clinics: The STOP CRC Cluster Randomized Clinical Trial.
RVGHTCUQ,testing,cross_set_duplicate,corpus,"same paper as validation FDVX9XTR, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,System Level Informatics to Improve Triage Practices for Sickle Cell Disease Vaso-Occlusive Crisis: A Cluster Randomized Controlled Trial.
9FSNPZT8,testing,cross_set_duplicate,corpus,"same paper as validation NQ4Y7FIA, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Caring for the elderly at work and home: Can a randomized organizational intervention improve psychological health?
NQSS6ZME,testing,cross_set_duplicate,corpus,"same paper as validation W75ICDYI, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Association between advanced cancer patient-caregiver agreement regarding prognosis and hospice enrollment.
VQERMQTN,testing,cross_set_duplicate,corpus,"same paper as validation PDP273K4, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Behavioral economic implementation strategies to improve serious illness communication between clinicians and high-risk patients with cancer: protocol for  a cluster randomized pragmatic trial.
GE5YUEC5,testing,cross_set_duplicate,corpus,"same paper as validation C69UAKKB, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Using increased trust in medical researchers to increase minority recruitment: The RECRUIT cluster randomized clinical trial.
82SN3AXQ,testing,cross_set_duplicate,corpus,"same paper as validation YZ7GZ47B, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,"Effects of a Flexibility/Support Intervention on Work Performance: Evidence From the Work, Family, and Health Network."
6TH7JZG3,testing,cross_set_duplicate,corpus,"same paper as validation BLWKH6C8, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Rationale and protocol for a cluster randomized pragmatic clinical trial testing behavioral economic implementation strategies to improve tobacco treatment rates  for cancer patients who smoke.
4P75RKMV,testing,cross_set_duplicate,corpus,"same paper as validation 4Q7JQUVU, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Effect on Patient Safety of a Resident Physician Schedule without 24-Hour Shifts.
V4D33GKD,testing,cross_set_duplicate,corpus,"same paper as validation HBD3Y6S2, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Assessment of Financial Toxicity Among Older Adults With Advanced Cancer.
CGFN57QZ,testing,cross_set_duplicate,corpus,"same paper as validation 8RFFGGMQ, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,"Employee Cardiometabolic Risk Following a Cluster-Randomized Workplace Intervention From the Work, Family and Health Network, 2009-2013."
4XYV8HZY,testing,cross_set_duplicate,corpus,"same paper as validation PVP9PWD9, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Assessing the representativeness of cluster randomized trials: Evidence from two large pragmatic trials in United States nursing homes.
RPDUHJVP,testing,cross_set_duplicate,corpus,"same paper as validation Z6DJN9CQ, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Completion of Patient-Reported Outcome Questionnaires Among Older Adults with Advanced Cancer.
DVTPLYEC,testing,cross_set_duplicate,corpus,"same paper as validation E92KWK4B, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Process of Engaging Community and Scientific Partners in the Development of the CIRCL-Chicago Study Protocol.
ZSVGVCQS,testing,cross_set_duplicate,corpus,"same paper as validation NCY67FZ9, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Changes in Moderate Intensity Physical Activity Are Associated With Better Cognition in the Multilevel Intervention for Physical Activity in Retirement  Communities (MIPARC) Study.
DZM6LTUC,testing,cross_set_duplicate,corpus,"same paper as validation 7MXH2IXG, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,The shared uncertainty experience of older adults with advanced cancer and their caregivers.
TLXU4MVQ,testing,cross_set_duplicate,corpus,"same paper as validation R7T6WKEW, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,"Protocol paper: Multi-site, cluster-randomized clinical trial for optimizing functional outcomes of older cancer survivors after chemotherapy."
M3IMKTAR,testing,cross_set_duplicate,corpus,"same paper as validation ZFMGD92P, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,"A qualitative evaluation of a simplified cardiovascular management program in Tibet, China."
PX36RSR8,testing,cross_set_duplicate,corpus,"same paper as validation SJVU6KJ3, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,"Effects of an Oncology Nurse-Led, Primary Palliative Care Intervention (CONNECT) on Illness Expectations Among Patients With Advanced Cancer."
82VGQ9L3,testing,cross_set_duplicate,corpus,"same paper as validation G4WN7HVX, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Poor patient health is associated with higher caregiver burden for older adults with advanced cancer.
VMVQ2SRD,testing,cross_set_duplicate,corpus,"same paper as validation 62TBCTHX, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Examining Caregiver Outcomes in the CONNECT Intervention for Patients With Advanced Cancer.
AD2GEB7Y,testing,cross_set_duplicate,corpus,"same paper as validation EEIQW8EX, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Effect of a Mammography Screening Decision Aid for Women 75 Years and Older: A Cluster Randomized Clinical Trial.
V4IJ9JW5,testing,cross_set_duplicate,corpus,"same paper as validation S7VJ7LXE, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Decreasing polypharmacy in older adults with cancer: A pilot cluster-randomized trial protocol.
VDTZHUI6,testing,cross_set_duplicate,corpus,"same paper as validation GVSXRYPK, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,"Geriatric assessment-driven polypharmacy discussions between oncologists, older patients, and their caregivers."
4SECYYI8,testing,cross_set_duplicate,corpus,"same paper as validation I6GH9T7T, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,A Geriatric Assessment Intervention to Reduce Treatment Toxicity Among Older Adults With Advanced Lung Cancer: A Subgroup Analysis From a Cluster Randomized  Controlled Trial.
45QRDBNZ,testing,cross_set_duplicate,corpus,"same paper as validation D7FNGV5H, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Communication With Older Patients With Cancer Using Geriatric Assessment: A Cluster-Randomized Clinical Trial From the National Cancer Institute Community  Oncology Research Program.
YVTFQYD2,testing,cross_set_duplicate,corpus,"same paper as validation GQ47R7MS, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Symptom Burden and Shared Care Planning in an Oncology Nurse-Led Primary Palliative Care Intervention (CONNECT) for Patients with Advanced Cancer.
JNM3WPH3,testing,cross_set_duplicate,corpus,"same paper as validation T3W2WZCX, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Social Mobile Approaches to Reducing Weight (SMART) 2.0: protocol of a randomized controlled trial among young adults in university settings.
N6Z88UT5,testing,cross_set_duplicate,corpus,"same paper as validation B6VJ22FA, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Hope and illness expectations: A cross-sectional study in patients with advanced cancer.
CLP2FY5Z,testing,cross_set_duplicate,corpus,"same paper as validation HA9IHJB6, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Associations of Caregiver-Oncologist Discordance in Prognostic Understanding With Caregiver-Reported Therapeutic Alliance and Anxiety.
33MGPB3E,testing,cross_set_duplicate,corpus,"same paper as validation 7BJRB6LP, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,"Beliefs About Advanced Cancer Curability in Older Patients, Their Caregivers, and Oncologists."
UN3SHL78,testing,cross_set_duplicate,corpus,"same paper as validation ALFCPWRB, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,"Caregiver-Oncologist Prognostic Concordance, Caregiver Mastery, and Caregiver Psychological Health and Quality of Life."
DCJKXL89,testing,cross_set_duplicate,corpus,"same paper as validation HI3CPFP8, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Relationships of self-perceived age with geriatric assessment domains in older adults with cancer.
Z6QQIWFY,testing,cross_set_duplicate,corpus,"same paper as validation 69KLSK53, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Communication About Fall Risk in Community Oncology Practice: The Role of Geriatric Assessment.
