paper_id,paper_id_note,source_institute,source_file,source_row,citation_raw,cite_key,matched_by,match_score,labeled,excluded,exclusion_reason,exclusion_reason_raw,power_correct,power_correct_raw,data_correct,data_correct_raw,review_category,review_category_raw,n_trt,n_levels,comment_levels,n_outer,n_2nd,n_3rd,n_4th,unit_rand,ind_samp_unit,restricted_rand_raw,icc,n_long,stepped_wedge_raw,data_done,data_should,data_comment,power_done,power_should,restricted_rand,stepped_wedge,source_note,source_doi,source_pmid,reason_source
FGGJHPQ8,,NCI,GroundTruthDataNCI01.xlsx,42,"42. (Culakova et al., 2023)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73BP3R5F,,NCI,GroundTruthDataNCI01.xlsx,43,"43. (de Kermadec et al., 2024)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II5PE99X,,NCI,GroundTruthDataNCI01.xlsx,44,"44. (Derose et al., 2022)",,author_year,100,1,0,,,no,NO,no,NO,B,B,,,,,,,,,,,,,,,,,,,,,,,,
MDUWF9YP,,NCI,GroundTruthDataNCI01.xlsx,45,"45. (DeSalvo et al., 2018)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7MJVIPL,,NCI,GroundTruthDataNCI01.xlsx,46,"46. (Drehmer et al., 2021)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECH2D7BJ,,NCI,GroundTruthDataNCI01.xlsx,47,"47. (Drehmer et al., 2020)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7HMIXSV8,,NCI,GroundTruthDataNCI01.xlsx,48,"48. (Dupuis et al., 2021)",,author_year,100,1,1,implementation_study,implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7EFQI5V4,,NCI,GroundTruthDataNCI01.xlsx,49,"49. (Eastment, Long, et al., 2022)",,author_position,100,1,1,qualitative_study,qualitative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32LERLVS,,NCI,GroundTruthDataNCI01.xlsx,50,"50. (Eastment et al., 2019)",,author_year,100,1,1,not_randomized,non-randomized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVNVFN8Y,,NCI,GroundTruthDataNCI01.xlsx,51,"51. (Eastment, Wanje, et al., 2022)",,author_position,100,1,1,implementation_study,implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26LDPI8G,,NCI,GroundTruthDataNCI01.xlsx,52,"52. (Eastment et al., 2023)",,author_year,100,1,0,,,no,NO,no,NO,B,B,,,,,,,,,,,,,,,,,,,,,,,,
E3JZCW7P,,NCI,GroundTruthDataNCI01.xlsx,53,"53. (Ehdaie et al., 2021)",,author_year,100,1,0,,,no,NO,no,NO,B,B,,,,,,,,,,,,,,,,,,,,,,,,
WCA66X4I,,NCI,GroundTruthDataNCI01.xlsx,54,"54. (Elliott et al., 2021)",,author_year,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
CG56AVM4,,NCI,GroundTruthDataNCI01.xlsx,55,"55. (Escoffery et al., 2019)",,author_year,100,1,0,,,yes,YES,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
IASMJG49,,NCI,GroundTruthDataNCI01.xlsx,56,"56. (Fadem et al., 2023)",,author_year,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
EJY33FGY,,NCI,GroundTruthDataNCI01.xlsx,57,"57. (Fang et al., 2019)",,author_year,100,1,0,,,no,NO,no,NO,D,D,,,,,,,,,,,,,,,,,,,,,,,,
F2BPPKMI,,NCI,GroundTruthDataNCI01.xlsx,58,"58. (Fernandez et al., 2020)",,author_year,100,1,0,,,no,NO,no,NO,D,D,,,,,,,,,,,,,,,,,,,,,,,,
WD74R75C,,NCI,GroundTruthDataNCI01.xlsx,59,"59. (Fiks et al., 2023)",,author_year,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
Z6DJN9CQ,,NCI,GroundTruthDataNCI01.xlsx,60,"60. (Flannery et al., 2022)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKMKUPTU,,NCI,GroundTruthDataNCI01.xlsx,61,"61. (Flitter et al., 2019)",,author_year,100,1,1,baseline_only,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCAG76F4,,NCI,GroundTruthDataNCI01.xlsx,62,"62. (Foley et al., 2023)",,author_year,100,1,1,duplicate_group_random_drop,random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49C5LL2B,,NCI,GroundTruthDataNCI01.xlsx,63,"63. (Foley et al., 2020)",,author_year,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
JSRXWSXE,,NCI,GroundTruthDataNCI01.xlsx,64,"64. (Foraker et al., 2021)",,author_year,100,1,0,,,yes,YES,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
EAJAKXKC,,NCI,GroundTruthDataNCI01.xlsx,65,"65. (Freytag et al., 2018)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6FQ47HW,,NCI,GroundTruthDataNCI01.xlsx,66,"66. (Friesner et al., 2024)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGCHKJTH,,NCI,GroundTruthDataNCI01.xlsx,67,"67. (Gans et al., 2018)",,author_year,100,1,0,,,no,NO,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
Z7NF2G6Q,,NCI,GroundTruthDataNCI01.xlsx,68,"68. (Gilbert et al., 2022)",,author_year,100,1,1,baseline_only,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I47BDCKU,,NCI,GroundTruthDataNCI01.xlsx,69,"69. (Gilkey et al., 2022)",,author_year,100,1,1,duplicate_group_random_drop,random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4FJHYJ4R,,NCI,GroundTruthDataNCI01.xlsx,70,"70. (Gilkey et al., 2023)",,author_year,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
UJB4QA99,,NCI,GroundTruthDataNCI01.xlsx,71,"71. (Gilmore et al., 2021)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEQRVXQG,,NCI,GroundTruthDataNCI01.xlsx,72,"72. (Grabert et al., 2022)",,author_year,100,1,1,implementation_study,implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G75A8PEN,,NCI,GroundTruthDataNCI01.xlsx,73,"73. (Greaney et al., 2018)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWAGKCVT,,NCI,GroundTruthDataNCI01.xlsx,74,"74. (Green, Coronado, et al., 2019)",,author_position,100,1,1,methods_paper,methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFGQKUCF,,NCI,GroundTruthDataNCI01.xlsx,75,"75. (Green, Vollmer, et al., 2019)",,author_position,100,1,1,implementation_study,implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3FT4BF3,,NCI,GroundTruthDataNCI01.xlsx,76,"76. (Haas et al., 2021)",,author_year,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
U4A6LS8G,,NCI,GroundTruthDataNCI01.xlsx,77,"77. (Hallemeier et al., 2019)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXI976EC,,NCI,GroundTruthDataNCI01.xlsx,78,"78. (Harris et al., 2022)",,author_year,100,1,1,implementation_study,implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XVG5NIVQ,,NCI,GroundTruthDataNCI01.xlsx,79,"79. (Harry, Asche, et al., 2022)",,author_position,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
XPS9DCVL,,NCI,GroundTruthDataNCI01.xlsx,80,"80. (Harry, Chrenka, et al., 2022)",,author_position,100,1,1,implementation_study,implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YCYESWU8,,NCI,GroundTruthDataNCI01.xlsx,81,"81. (Harry et al., 2020)",,author_year,100,1,1,implementation_study,implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LJW4HEIA,,NCI,GroundTruthDataNCI01.xlsx,82,"82. (Herman et al., 2022)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIP639KQ,,NCI,GroundTruthDataNCI01.xlsx,83,"83. (Hershman, Bansal, Barlow, et al., 2023)",,author_position,100,1,1,implementation_study,implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZYS3BX2,,NCI,GroundTruthDataNCI01.xlsx,84,"84. (Hershman, Bansal, Sullivan, et al., 2023)",,author_position,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
A9KIMSNR,,NCI,GroundTruthDataNCI01.xlsx,85,"85. (Hingle et al., 2021)",,author_year,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
FMXPAUEI,,NCI,GroundTruthDataNCI01.xlsx,86,"86. (Holt et al., 2019)",,author_year,100,1,0,,,no,NO,no,NO,D,D,,,,,,,,,,,,,,,,,,,,,,,,
HRZIZRJP,,NCI,GroundTruthDataNCI01.xlsx,87,"87. (Huchko et al., 2018)",,author_year,100,1,0,,,no,NO,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
E6B5T4RY,,NCI,GroundTruthDataNCI01.xlsx,88,"88. (Huchko et al., 2019)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4QDRKEG,,NCI,GroundTruthDataNCI01.xlsx,89,"89. (Huei-Yu Wang et al., 2018)",,author_year,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
72N55PAH,,NCI,GroundTruthDataNCI01.xlsx,90,"90. (Hunt et al., 2018)",,author_year,100,1,0,,,yes,YES,no,NO,B,B,,,,,,,,,,,,,,,,,,,,,,,,
PSCSKNSV,,NCI,GroundTruthDataNCI01.xlsx,91,"91. (Hwang et al., 2018)",,author_year,100,1,1,not_group_randomized,not group randomized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VKY7UK64,,NCI,GroundTruthDataNCI01.xlsx,92,"92. (Jamshidi-Naeini et al., 2022)",,author_year,100,1,1,methods_paper,methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J7CUNUHF,,NCI,GroundTruthDataNCI01.xlsx,93,"93. (Jensen-Battaglia, Lei, Xu, Kehoe, et al., 2022)",,author_position,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69KLSK53,,NCI,GroundTruthDataNCI01.xlsx,94,"94. (Jensen-Battaglia, Lei, Xu, Loh, et al., 2022)",,author_position,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2Z7J77,,NCI,GroundTruthDataNCI01.xlsx,95,"95. (Jensen-Battaglia et al., 2023)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLWKH6C8,,NCI,GroundTruthDataNCI01.xlsx,96,"96. (Jenssen et al., 2021)",,author_year,100,1,0,,,yes,YES,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
F4KF42R4,,NCI,GroundTruthDataNCI01.xlsx,97,"97. (Jenssen et al., 2023)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMQ7NINF,,NCI,GroundTruthDataNCI01.xlsx,98,"98. (Jiang et al., 2019)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XA8RYYSR,,NCI,GroundTruthDataNCI01.xlsx,99,"99. (Jih et al., 2020)",,author_year,100,1,0,,,yes,YES,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
SH5J2R2J,,NCI,GroundTruthDataNCI01.xlsx,100,"100. (Johnson et al., 2024)",,author_year,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
3NJJIQJQ,,NCI,GroundTruthDataNCI01.xlsx,101,"101. (Jones et al., 2021)",,author_year,100,1,1,not_group_randomized,not group randomized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM444G67,,NCI,GroundTruthDataNCI01.xlsx,102,"102. (Katz et al., 2018)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZXHI8G3B,,NCI,GroundTruthDataNCI01.xlsx,103,"103. (Ke et al., 2024)",,author_year,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
EYSSMC5T,,NCI,GroundTruthDataNCI01.xlsx,104,"104. (Kelder et al., 2020)",,author_year,100,1,1,not_randomized,non-randomized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPPC94XT,,NCI,GroundTruthDataNCI01.xlsx,105,"105. (King et al., 2021)",,author_year,100,1,1,duplicate_group_random_drop,random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X2MXMQA7,,NCI,GroundTruthDataNCI01.xlsx,106,"106. (King et al., 2020)",,author_year,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
VPCPTPZL,,NCI,GroundTruthDataNCI01.xlsx,107,"107. (Kleckner et al., 2022)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JCPBMIPX,,NCI,GroundTruthDataNCI01.xlsx,108,"108. (Knott et al., 2022)",,author_year,100,1,0,,,no,NO,no,NO,D,D,,,,,,,,,,,,,,,,,,,,,,,,
6XFGQN39,,NCI,GroundTruthDataNCI01.xlsx,109,"109. (Krist et al., 2020)",,author_year,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
BYZJM332,,NCI,GroundTruthDataNCI01.xlsx,110,"110. (Kukafka et al., 2022)",,author_year,100,1,0,,,yes,YES,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
VIYWFDG9,,NCI,GroundTruthDataNCI01.xlsx,111,"111. (Latella et al., 2020)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2LUUC2WH,,NCI,GroundTruthDataNCI01.xlsx,112,"112. (Leavens et al., 2018)",,author_year,100,1,0,,,no,NO,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
B9YG8GYQ,,NCI,GroundTruthDataNCI01.xlsx,113,"113. (R. E. Lee et al., 2022)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMNK2UJG,,NCI,GroundTruthDataNCI01.xlsx,114,"114. (R. M. Lee et al., 2019)",,author_year,100,1,0,,,no,NO,no,NO,D,D,,,,,,,,,,,,,,,,,,,,,,,,
ABV8X64G,,NCI,GroundTruthDataNCI01.xlsx,115,"115. (R. M. Lee et al., 2018)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DKMFB69S,,NCI,GroundTruthDataNCI01.xlsx,116,"116. (Leone et al., 2018)",,author_year,100,1,0,,,yes,YES,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
JMLTZFI8,,NCI,GroundTruthDataNCI01.xlsx,117,"117. (Leone et al., 2019)",,author_year,100,1,1,duplicate_group_random_drop,random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULPYQHXX,,NCI,GroundTruthDataNCI01.xlsx,118,"118. (Ligibel et al., 2023)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR9N2LY8,,NCI,GroundTruthDataNCI01.xlsx,119,"119. (Lin et al., 2024)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T9MTMMP,,NCI,GroundTruthDataNCI01.xlsx,120,"120. (Little et al., 2023)",,author_year,100,1,0,,,yes,YES,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
RHQWSFTR,,NCI,GroundTruthDataNCI01.xlsx,121,"121. (Liu et al., 2023)",,author_year,100,1,1,methods_paper,methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI3CPFP8,,NCI,GroundTruthDataNCI01.xlsx,122,"122. (Loh, Duberstein, et al., 2020)",,author_position,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALFCPWRB,,NCI,GroundTruthDataNCI01.xlsx,123,"123. (Loh et al., 2021)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7BJRB6LP,,NCI,GroundTruthDataNCI01.xlsx,124,"124. (Loh et al., 2019)",,author_year,100,1,1,baseline_only,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA9IHJB6,,NCI,GroundTruthDataNCI01.xlsx,125,"125. (Loh, Xu, et al., 2020)",,author_position,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IXGWRWKV,,NCI,GroundTruthDataNCI01.xlsx,126,"126. (Long et al., 2022)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6VJ22FA,,NCI,GroundTruthDataNCI01.xlsx,127,"127. (Loučka et al., 2024)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GX655FV4,,NCI,GroundTruthDataNCI01.xlsx,128,"128. (Lowenstein et al., 2023)",,author_year,100,1,0,,,yes,YES,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
GVQJHIGK,,NCI,GroundTruthDataNCI01.xlsx,129,"129. (Luecking et al., 2021)",,author_year,100,1,1,implementation_study,implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJF6XXQG,,NCI,GroundTruthDataNCI01.xlsx,130,"130. (Ma et al., 2019)",,author_year,100,1,0,,,no,NO,no,NO,B,B,,,,,,,,,,,,,,,,,,,,,,,,
QGRTXZZH,,NCI,GroundTruthDataNCI01.xlsx,131,"131. (Ma et al., 2018)",,author_year,100,1,1,duplicate_group_random_drop,random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
