paper_id,task,round,stratum
4GUDDLNQ,exclusion,2,survivor
4Q7JQUVU,exclusion,2,excluded
B3KTU9TU,exclusion,2,survivor
CN8B23MZ,exclusion,2,excluded
MFCQSDMF,exclusion,2,excluded
WY9D5UIK,exclusion,2,survivor
JZHSJF4P,exclusion,2,excluded
BKND5GCR,exclusion,2,excluded
SGCHKJTH,exclusion,2,survivor
XSWEUIXG,exclusion,2,excluded
EIE8ET3D,exclusion,2,excluded
DFJE8ALD,exclusion,2,survivor
AFKVRFM8,exclusion,2,excluded
9LTSBSEE,exclusion,2,survivor
8UI7B8NY,exclusion,2,excluded
3I2K6X84,exclusion,2,excluded
IPR6QU8P,exclusion,2,survivor
YAIMEWET,exclusion,2,excluded
WTQJUCGN,exclusion,2,excluded
SH5J2R2J,exclusion,2,survivor
55D8SN85,exclusion,2,excluded
Q5KYTZM8,exclusion,2,excluded
UHEKLJLC,exclusion,2,survivor
JQH7C7QZ,exclusion,2,excluded
TGSIADX6,exclusion,2,survivor
8R8U6VMX,exclusion,2,excluded
MMJBXYNB,exclusion,2,excluded
BR4Y6FSS,exclusion,2,survivor
2UPNUCNS,exclusion,2,excluded
GKVUXT8J,exclusion,2,excluded
26LDPI8G,exclusion,2,survivor
F5VFFT7X,exclusion,2,excluded
XVK2U8K6,exclusion,2,excluded
7M6ST2JQ,exclusion,2,survivor
9XSGVFTU,exclusion,2,excluded
L8CPLJYW,exclusion,2,survivor
HJICVPT7,exclusion,2,excluded
W75ICDYI,exclusion,2,excluded
TBFRUAMD,exclusion,2,survivor
U4546RAU,exclusion,2,excluded
25SMNHQG,exclusion,2,excluded
BW2B5H9P,exclusion,3,survivor
TGIBPA3M,exclusion,3,excluded
SZ3FBTVJ,exclusion,3,excluded
DCYTWR4N,exclusion,3,survivor
4T3I54L2,exclusion,3,excluded
72N55PAH,exclusion,3,survivor
MWYKAIL4,exclusion,3,excluded
4EYIVLJR,exclusion,3,excluded
84YU8UCD,exclusion,3,survivor
C37DMGX6,exclusion,3,excluded
WGQGTBTE,exclusion,3,excluded
UMV6NC2L,exclusion,3,survivor
5CPW9STM,exclusion,3,excluded
98PU32ET,exclusion,3,excluded
WD74R75C,exclusion,3,survivor
JDABTKG9,exclusion,3,excluded
9DKJKFAS,exclusion,3,survivor
S26WZS8D,exclusion,3,excluded
S6JAD5PD,exclusion,3,excluded
H7N83IW2,exclusion,3,survivor
LJW4HEIA,exclusion,3,excluded
BZHD4F63,exclusion,3,excluded
LU33978L,exclusion,3,survivor
Z6DJN9CQ,exclusion,3,excluded
YCFJFHMC,exclusion,3,excluded
TEXLFQSL,exclusion,3,survivor
VGZFSIYN,exclusion,3,excluded
VMHXT33Z,exclusion,3,survivor
PQVNQR33,exclusion,3,excluded
7MHFEUZL,exclusion,3,excluded
JCPBMIPX,exclusion,3,survivor
WK6HCXYF,exclusion,3,excluded
M36AICFG,exclusion,3,excluded
FEHWGZSQ,exclusion,3,survivor
CKWBYHEN,exclusion,3,excluded
G75A8PEN,exclusion,3,excluded
U7PLGE75,exclusion,3,survivor
GVQJHIGK,exclusion,3,excluded
L2VHUDMD,exclusion,3,survivor
WKMKUPTU,exclusion,3,excluded
XGSXVHMB,exclusion,3,excluded
YR23V33N,exclusion,3,survivor
TZW76NJB,exclusion,3,excluded
8RFFGGMQ,exclusion,3,excluded
LIJH82T5,exclusion,3,survivor
UHLRHMGI,exclusion,3,excluded
PIZAETCG,exclusion,3,excluded
CMD8N46A,exclusion,3,survivor
9MM6Z5CZ,exclusion,3,excluded
W2VQEXEG,exclusion,3,survivor
MCKQDWYQ,exclusion,4,excluded
S7VJ7LXE,exclusion,4,excluded
7KTF6M73,exclusion,4,survivor
DHSYLQCG,exclusion,4,excluded
LD7CNGD5,exclusion,4,excluded
2NRLZW3M,exclusion,4,survivor
KDH4XJIC,exclusion,4,excluded
NFIAY6NV,exclusion,4,excluded
GMFGJ3S5,exclusion,4,survivor
S42UTYP4,exclusion,4,excluded
52L6RCJY,exclusion,4,survivor
RE9NAY8K,exclusion,4,excluded
HBD3Y6S2,exclusion,4,excluded
B34VFBK3,exclusion,4,survivor
KG4JI677,exclusion,4,excluded
DM2HM3XH,exclusion,4,excluded
3JVAWNIE,exclusion,4,survivor
3ETDUWRH,exclusion,4,excluded
UBM2R4MP,exclusion,4,excluded
9PGIWTZJ,exclusion,4,survivor
U4A6LS8G,exclusion,4,excluded
9U8SD7BK,exclusion,4,survivor
PT2PSKAP,exclusion,4,excluded
XEKC6EFN,exclusion,4,excluded
I4N8RJX7,exclusion,4,survivor
4ME98BI9,exclusion,4,excluded
62TBCTHX,exclusion,4,excluded
R3FT4BF3,exclusion,4,survivor
TZ8BIHD2,exclusion,4,excluded
R2P2KPRE,exclusion,4,survivor
EI9D54I4,exclusion,4,excluded
LWBKGLCW,exclusion,4,excluded
CR7JWN8H,exclusion,4,survivor
Q2S96SJ9,exclusion,4,excluded
PWWEDNNK,exclusion,4,excluded
XEIAGV9H,exclusion,4,survivor
VAKS8AI7,exclusion,4,excluded
SMQ7NINF,exclusion,4,excluded
E3JZCW7P,exclusion,4,survivor
UVKTJIEB,exclusion,4,excluded
W95M9S6N,exclusion,4,survivor
2EQE8HSV,exclusion,4,excluded
69KLSK53,exclusion,4,excluded
6PNE2R2W,exclusion,4,survivor
LSLZLVAS,exclusion,4,excluded
Y65DB7TT,exclusion,4,excluded
25GIEATL,exclusion,4,survivor
CVNVFN8Y,exclusion,4,excluded
GBK9FE9L,exclusion,4,excluded
ZH47UTGY,exclusion,4,survivor
CU6USZZG,exclusion,5,excluded
49C5LL2B,exclusion,5,survivor
YFHGVNZN,exclusion,5,excluded
4RJRGIRQ,exclusion,5,excluded
4X4LV7H7,exclusion,5,survivor
44SJ3WXZ,exclusion,5,excluded
34PR6YXH,exclusion,5,excluded
I6DQCI97,exclusion,5,survivor
FCXQJYSP,exclusion,5,excluded
VIYWFDG9,exclusion,5,excluded
6M6JS3W5,exclusion,5,survivor
HFCRYZ8E,exclusion,5,excluded
GYRIVJLS,exclusion,5,survivor
99MJ924A,exclusion,5,excluded
KI6F3YXL,exclusion,5,excluded
Z2W7K5DA,exclusion,5,survivor
3SUSMNR7,exclusion,5,excluded
VPCPTPZL,exclusion,5,excluded
9LX3EYI2,exclusion,5,survivor
JW9782P3,exclusion,5,excluded
8NC76BQP,exclusion,5,excluded
BYZJM332,exclusion,5,survivor
R8DWVW84,exclusion,5,excluded
Y9EY4XQ8,exclusion,5,survivor
VG2ZZL79,exclusion,5,excluded
74ARW7SL,exclusion,5,excluded
YJDJH8TY,exclusion,5,survivor
SFJI363E,exclusion,5,excluded
QLJ7HTJU,exclusion,5,excluded
EJY33FGY,exclusion,5,survivor
LPIT2KM5,exclusion,5,excluded
ZFMGD92P,exclusion,5,excluded
II5PE99X,exclusion,5,survivor
DSB4NKC5,exclusion,5,excluded
AT7Y2KKR,exclusion,5,survivor
NCULGT7Q,exclusion,5,excluded
RM444G67,exclusion,5,excluded
4T9MTMMP,exclusion,5,survivor
ZQ2U7SAI,exclusion,5,excluded
XVICZIA8,exclusion,5,excluded
EBWFU9KS,exclusion,5,survivor
IB825UX2,exclusion,5,excluded
28SJBT73,exclusion,5,excluded
X2MP4F7R,exclusion,5,survivor
JM9T8XDZ,exclusion,5,excluded
EZW26HK2,exclusion,5,survivor
3DSAACUW,exclusion,5,excluded
PV2Z7J77,exclusion,5,excluded
X2MXMQA7,exclusion,5,survivor
B9YG8GYQ,exclusion,5,excluded
7NGXRYU7,exclusion,6,excluded
LNE655AM,exclusion,6,survivor
D8BXQHHL,exclusion,6,excluded
IDKFPWGH,exclusion,6,excluded
Z6WDVTKT,exclusion,6,survivor
BJM4IT6J,exclusion,6,excluded
4FJHYJ4R,exclusion,6,survivor
46MFLID4,exclusion,6,excluded
BCPZNXV7,exclusion,6,excluded
BBQSQ5GY,exclusion,6,survivor
CRIGG2QL,exclusion,6,excluded
VXZHWRTC,exclusion,6,excluded
FMXPAUEI,exclusion,6,survivor
E2MNEMB8,exclusion,6,excluded
BWAGKCVT,exclusion,6,excluded
VFJZH9TR,exclusion,6,survivor
H2HJLXGH,exclusion,6,excluded
SAT93UFL,exclusion,6,survivor
URUAWZAY,exclusion,6,excluded
FI4T6J44,exclusion,6,excluded
ASUUZY3Z,exclusion,6,survivor
E8BGTQDI,exclusion,6,excluded
5B6YAKGZ,exclusion,6,excluded
KMKSIU5U,exclusion,6,survivor
EAJAKXKC,exclusion,6,excluded
GJ9ZU4N5,exclusion,6,excluded
HRZIZRJP,exclusion,6,survivor
32LERLVS,exclusion,6,excluded
3H4J4BGD,exclusion,6,survivor
PVIMTUBL,exclusion,6,excluded
ABV8X64G,exclusion,6,excluded
9THPD86J,exclusion,6,survivor
ME2XJGEW,exclusion,6,excluded
G4WN7HVX,exclusion,6,excluded
4B9BMDV7,exclusion,6,survivor
MPJA6L2H,exclusion,6,excluded
WJWMFQRJ,exclusion,6,excluded
TT7PIVLD,exclusion,6,survivor
J4BU3EEE,exclusion,6,excluded
WUNIU4CC,exclusion,6,survivor
6QNQDH2P,exclusion,6,excluded
RKXS5GKB,exclusion,6,excluded
4QHFZPVG,exclusion,6,survivor
TUYKW32A,exclusion,6,excluded
Y5J6YZK2,exclusion,6,excluded
KSSYVX7X,exclusion,6,survivor
E5W8I8AR,exclusion,6,excluded
I6KDJ44E,exclusion,6,excluded
CG56AVM4,exclusion,6,survivor
DXI976EC,exclusion,6,excluded
GX655FV4,exclusion,7,survivor
HI3CPFP8,exclusion,7,excluded
YUL5IEIT,exclusion,7,excluded
ZXHI8G3B,exclusion,7,survivor
XXY9RT8Q,exclusion,7,excluded
EVS2FEUS,exclusion,7,excluded
AQVRGUP7,exclusion,7,survivor
SJVU6KJ3,exclusion,7,excluded
7MXH2IXG,exclusion,7,excluded
4IBT3NAD,exclusion,7,survivor
SU8TVFGH,exclusion,7,excluded
FDVX9XTR,exclusion,7,survivor
SUANA8ET,exclusion,7,excluded
VD74N4DN,exclusion,7,excluded
DKMFB69S,exclusion,7,survivor
ERY25CXT,exclusion,7,excluded
54ZXRGZ7,exclusion,7,excluded
R7T6WKEW,exclusion,7,survivor
6CEJB5CI,exclusion,7,excluded
EH85EJ36,exclusion,7,excluded
PDP273K4,exclusion,7,survivor
FGGJHPQ8,exclusion,7,excluded
NZYS3BX2,exclusion,7,survivor
PVP9PWD9,exclusion,7,excluded
C9R7RUUN,exclusion,7,excluded
2LUUC2WH,exclusion,7,survivor
9HBYKQR8,exclusion,7,excluded
Q6PZ52E8,exclusion,7,excluded
QJRBBVLY,exclusion,7,survivor
XYJLRGVC,exclusion,7,excluded
YNAD85P3,exclusion,7,excluded
2HLT4Y2J,exclusion,7,survivor
3INBZHKN,exclusion,7,excluded
NMNK2UJG,exclusion,7,survivor
PG83SQ3X,exclusion,7,excluded
IJE7MVNS,exclusion,7,excluded
WTLH8PPX,exclusion,7,survivor
LRDYLR4Y,exclusion,7,excluded
WCA66X4I,power_analysis,1,survivor
6XFGQN39,power_analysis,1,survivor
D24FD6G2,power_analysis,1,survivor
2RDD8DGI,power_analysis,1,survivor
HPIL7WVW,power_analysis,1,survivor
7NYXSVAI,power_analysis,1,survivor
KMRQTRP3,power_analysis,1,survivor
5VWZPNEQ,power_analysis,1,survivor
MTLFVN94,power_analysis,1,survivor
ZETJJPRR,power_analysis,1,survivor
CKEF67C5,power_analysis,1,survivor
C9P63S2B,power_analysis,1,survivor
2BDG7GVP,power_analysis,1,survivor
BAABE7JM,power_analysis,1,survivor
LGEECHQM,power_analysis,1,survivor
UPVYYFVQ,power_analysis,1,survivor
XFPCQLGP,power_analysis,1,survivor
NQ4Y7FIA,power_analysis,1,survivor
BLWKH6C8,power_analysis,1,survivor
C69UAKKB,power_analysis,1,survivor
FHVQQIX3,power_analysis,1,survivor
4GUDDLNQ,power_analysis,1,survivor
B3KTU9TU,power_analysis,1,survivor
WY9D5UIK,power_analysis,1,survivor
SGCHKJTH,power_analysis,1,survivor
DFJE8ALD,power_analysis,1,survivor
9LTSBSEE,power_analysis,1,survivor
IPR6QU8P,power_analysis,1,survivor
SH5J2R2J,power_analysis,1,survivor
UHEKLJLC,power_analysis,1,survivor
TGSIADX6,power_analysis,1,survivor
BR4Y6FSS,power_analysis,1,survivor
26LDPI8G,power_analysis,1,survivor
7M6ST2JQ,power_analysis,1,survivor
L8CPLJYW,power_analysis,1,survivor
TBFRUAMD,power_analysis,1,survivor
BW2B5H9P,power_analysis,1,survivor
DCYTWR4N,power_analysis,1,survivor
72N55PAH,power_analysis,1,survivor
84YU8UCD,power_analysis,1,survivor
UMV6NC2L,power_analysis,1,survivor
WD74R75C,power_analysis,1,survivor
9DKJKFAS,power_analysis,1,survivor
H7N83IW2,power_analysis,1,survivor
LU33978L,power_analysis,1,survivor
TEXLFQSL,power_analysis,1,survivor
VMHXT33Z,power_analysis,1,survivor
JCPBMIPX,power_analysis,1,survivor
FEHWGZSQ,power_analysis,1,survivor
U7PLGE75,power_analysis,1,survivor
L2VHUDMD,power_analysis,2,survivor
YR23V33N,power_analysis,2,survivor
LIJH82T5,power_analysis,2,survivor
CMD8N46A,power_analysis,2,survivor
W2VQEXEG,power_analysis,2,survivor
7KTF6M73,power_analysis,2,survivor
2NRLZW3M,power_analysis,2,survivor
GMFGJ3S5,power_analysis,2,survivor
52L6RCJY,power_analysis,2,survivor
B34VFBK3,power_analysis,2,survivor
3JVAWNIE,power_analysis,2,survivor
9PGIWTZJ,power_analysis,2,survivor
9U8SD7BK,power_analysis,2,survivor
I4N8RJX7,power_analysis,2,survivor
R3FT4BF3,power_analysis,2,survivor
R2P2KPRE,power_analysis,2,survivor
CR7JWN8H,power_analysis,2,survivor
XEIAGV9H,power_analysis,2,survivor
E3JZCW7P,power_analysis,2,survivor
W95M9S6N,power_analysis,2,survivor
6PNE2R2W,power_analysis,2,survivor
25GIEATL,power_analysis,2,survivor
ZH47UTGY,power_analysis,2,survivor
49C5LL2B,power_analysis,2,survivor
4X4LV7H7,power_analysis,2,survivor
I6DQCI97,power_analysis,2,survivor
6M6JS3W5,power_analysis,2,survivor
GYRIVJLS,power_analysis,2,survivor
Z2W7K5DA,power_analysis,2,survivor
9LX3EYI2,power_analysis,2,survivor
BYZJM332,power_analysis,2,survivor
Y9EY4XQ8,power_analysis,2,survivor
YJDJH8TY,power_analysis,2,survivor
EJY33FGY,power_analysis,2,survivor
II5PE99X,power_analysis,2,survivor
AT7Y2KKR,power_analysis,2,survivor
4T9MTMMP,power_analysis,2,survivor
EBWFU9KS,power_analysis,2,survivor
X2MP4F7R,power_analysis,2,survivor
EZW26HK2,power_analysis,2,survivor
X2MXMQA7,power_analysis,2,survivor
LNE655AM,power_analysis,2,survivor
Z6WDVTKT,power_analysis,2,survivor
4FJHYJ4R,power_analysis,2,survivor
BBQSQ5GY,power_analysis,2,survivor
FMXPAUEI,power_analysis,2,survivor
VFJZH9TR,power_analysis,2,survivor
SAT93UFL,power_analysis,2,survivor
ASUUZY3Z,power_analysis,2,survivor
KMKSIU5U,power_analysis,2,survivor
HRZIZRJP,power_analysis,3,survivor
3H4J4BGD,power_analysis,3,survivor
9THPD86J,power_analysis,3,survivor
4B9BMDV7,power_analysis,3,survivor
TT7PIVLD,power_analysis,3,survivor
WUNIU4CC,power_analysis,3,survivor
4QHFZPVG,power_analysis,3,survivor
KSSYVX7X,power_analysis,3,survivor
CG56AVM4,power_analysis,3,survivor
GX655FV4,power_analysis,3,survivor
ZXHI8G3B,power_analysis,3,survivor
AQVRGUP7,power_analysis,3,survivor
4IBT3NAD,power_analysis,3,survivor
FDVX9XTR,power_analysis,3,survivor
DKMFB69S,power_analysis,3,survivor
R7T6WKEW,power_analysis,3,survivor
PDP273K4,power_analysis,3,survivor
NZYS3BX2,power_analysis,3,survivor
2LUUC2WH,power_analysis,3,survivor
QJRBBVLY,power_analysis,3,survivor
2HLT4Y2J,power_analysis,3,survivor
NMNK2UJG,power_analysis,3,survivor
WTLH8PPX,power_analysis,3,survivor
WCA66X4I,data_analysis,1,survivor
6XFGQN39,data_analysis,1,survivor
D24FD6G2,data_analysis,1,survivor
2RDD8DGI,data_analysis,1,survivor
HPIL7WVW,data_analysis,1,survivor
7NYXSVAI,data_analysis,1,survivor
KMRQTRP3,data_analysis,1,survivor
5VWZPNEQ,data_analysis,1,survivor
MTLFVN94,data_analysis,1,survivor
ZETJJPRR,data_analysis,1,survivor
CKEF67C5,data_analysis,1,survivor
C9P63S2B,data_analysis,1,survivor
2BDG7GVP,data_analysis,1,survivor
BAABE7JM,data_analysis,1,survivor
LGEECHQM,data_analysis,1,survivor
UPVYYFVQ,data_analysis,1,survivor
XFPCQLGP,data_analysis,1,survivor
NQ4Y7FIA,data_analysis,1,survivor
BLWKH6C8,data_analysis,1,survivor
C69UAKKB,data_analysis,1,survivor
FHVQQIX3,data_analysis,1,survivor
4GUDDLNQ,data_analysis,1,survivor
B3KTU9TU,data_analysis,1,survivor
WY9D5UIK,data_analysis,1,survivor
SGCHKJTH,data_analysis,1,survivor
DFJE8ALD,data_analysis,1,survivor
9LTSBSEE,data_analysis,1,survivor
IPR6QU8P,data_analysis,1,survivor
SH5J2R2J,data_analysis,1,survivor
UHEKLJLC,data_analysis,1,survivor
TGSIADX6,data_analysis,1,survivor
BR4Y6FSS,data_analysis,1,survivor
26LDPI8G,data_analysis,1,survivor
7M6ST2JQ,data_analysis,1,survivor
L8CPLJYW,data_analysis,1,survivor
TBFRUAMD,data_analysis,1,survivor
BW2B5H9P,data_analysis,1,survivor
DCYTWR4N,data_analysis,1,survivor
72N55PAH,data_analysis,1,survivor
84YU8UCD,data_analysis,1,survivor
UMV6NC2L,data_analysis,1,survivor
WD74R75C,data_analysis,1,survivor
9DKJKFAS,data_analysis,1,survivor
H7N83IW2,data_analysis,1,survivor
LU33978L,data_analysis,1,survivor
TEXLFQSL,data_analysis,1,survivor
VMHXT33Z,data_analysis,1,survivor
JCPBMIPX,data_analysis,1,survivor
FEHWGZSQ,data_analysis,1,survivor
U7PLGE75,data_analysis,1,survivor
L2VHUDMD,data_analysis,2,survivor
YR23V33N,data_analysis,2,survivor
LIJH82T5,data_analysis,2,survivor
CMD8N46A,data_analysis,2,survivor
W2VQEXEG,data_analysis,2,survivor
7KTF6M73,data_analysis,2,survivor
2NRLZW3M,data_analysis,2,survivor
GMFGJ3S5,data_analysis,2,survivor
52L6RCJY,data_analysis,2,survivor
B34VFBK3,data_analysis,2,survivor
3JVAWNIE,data_analysis,2,survivor
9PGIWTZJ,data_analysis,2,survivor
9U8SD7BK,data_analysis,2,survivor
I4N8RJX7,data_analysis,2,survivor
R3FT4BF3,data_analysis,2,survivor
R2P2KPRE,data_analysis,2,survivor
CR7JWN8H,data_analysis,2,survivor
XEIAGV9H,data_analysis,2,survivor
E3JZCW7P,data_analysis,2,survivor
W95M9S6N,data_analysis,2,survivor
6PNE2R2W,data_analysis,2,survivor
25GIEATL,data_analysis,2,survivor
ZH47UTGY,data_analysis,2,survivor
49C5LL2B,data_analysis,2,survivor
4X4LV7H7,data_analysis,2,survivor
I6DQCI97,data_analysis,2,survivor
6M6JS3W5,data_analysis,2,survivor
GYRIVJLS,data_analysis,2,survivor
Z2W7K5DA,data_analysis,2,survivor
9LX3EYI2,data_analysis,2,survivor
BYZJM332,data_analysis,2,survivor
Y9EY4XQ8,data_analysis,2,survivor
YJDJH8TY,data_analysis,2,survivor
EJY33FGY,data_analysis,2,survivor
II5PE99X,data_analysis,2,survivor
AT7Y2KKR,data_analysis,2,survivor
4T9MTMMP,data_analysis,2,survivor
EBWFU9KS,data_analysis,2,survivor
X2MP4F7R,data_analysis,2,survivor
EZW26HK2,data_analysis,2,survivor
X2MXMQA7,data_analysis,2,survivor
LNE655AM,data_analysis,2,survivor
Z6WDVTKT,data_analysis,2,survivor
4FJHYJ4R,data_analysis,2,survivor
BBQSQ5GY,data_analysis,2,survivor
FMXPAUEI,data_analysis,2,survivor
VFJZH9TR,data_analysis,2,survivor
SAT93UFL,data_analysis,2,survivor
ASUUZY3Z,data_analysis,2,survivor
KMKSIU5U,data_analysis,2,survivor
HRZIZRJP,data_analysis,3,survivor
3H4J4BGD,data_analysis,3,survivor
9THPD86J,data_analysis,3,survivor
4B9BMDV7,data_analysis,3,survivor
TT7PIVLD,data_analysis,3,survivor
WUNIU4CC,data_analysis,3,survivor
4QHFZPVG,data_analysis,3,survivor
KSSYVX7X,data_analysis,3,survivor
CG56AVM4,data_analysis,3,survivor
GX655FV4,data_analysis,3,survivor
ZXHI8G3B,data_analysis,3,survivor
AQVRGUP7,data_analysis,3,survivor
4IBT3NAD,data_analysis,3,survivor
FDVX9XTR,data_analysis,3,survivor
DKMFB69S,data_analysis,3,survivor
R7T6WKEW,data_analysis,3,survivor
PDP273K4,data_analysis,3,survivor
NZYS3BX2,data_analysis,3,survivor
2LUUC2WH,data_analysis,3,survivor
QJRBBVLY,data_analysis,3,survivor
2HLT4Y2J,data_analysis,3,survivor
NMNK2UJG,data_analysis,3,survivor
WTLH8PPX,data_analysis,3,survivor
