pmid,citation_key,first_author,year,title,journal,volume,issue,pages,doi,exclusion_reason,reason_source,all_authors
35255913,Thakkar2022,"Thakkar, Aarti",2022,Network characteristics of a referral system for patients with hypertension in  Western Kenya: results from the Strengthening Referral Networks for Management of  Hypertension Across the Health System (STRENGTHS) study,BMC Health Serv Res,22,1,315,10.1186/s12913-022-07699-8,Baseline analysis,"Ignore03_NHLBI exclusion document, category headings","Thakkar, Aarti; Valente, Thomas; Andesia, Josephine; Njuguna, Benson; Miheso, Juliet; Mercer, Tim; Mugo, Richard; Mwangi, Ann; Mwangi, Eunice; Pastakia, Sonak D; Pathak, Shravani; Pillsbury, Mc Kinsey M; Kamano, Jemima; Naanyu, Violet; Williams, Makeda; Vedanthan, Rajesh; Akwanalo, Constantine; Bloomfield, Gerald S"
30497638,Tovar2018,"Tovar, Alison",2018,Nutritional Quality of Meals and Snacks Served and Consumed in Family Child Care,J Acad Nutr Diet,118,12,2280-2286,10.1016/j.jand.2018.08.154,Baseline analysis,"Ignore03_NHLBI exclusion document, category headings","Tovar, Alison; Benjamin-Neelon, Sara E; Vaughn, Amber E; Tsai, Maggie; Burney, Regan; Østbye, Truls; Ward, Dianne S"
29373797,Barbaro2018,"Barbaro, Ryan P",2018,Does Extracorporeal Membrane Oxygenation Improve Survival in Pediatric Acute  Respiratory Failure?,Am J Respir Crit Care Med,197,9,1177-1186,10.1164/rccm.201709-1893OC,Cohort study,"Ignore03_NHLBI exclusion document, category headings","Barbaro, Ryan P; Xu, Yuejia; Borasino, Santiago; Truemper, Edward J; Watson, R Scott; Thiagarajan, Ravi R; Wypij, David; Curley, Martha A Q"
30017814,Curley2018,"Curley, Martha A Q",2018,"Design and rationale of the ""Sedation strategy and cognitive outcome after  critical illness in early childhood"" study",Contemp Clin Trials,72,,8-15,10.1016/j.cct.2018.07.004,Cohort study,"Ignore03_NHLBI exclusion document, category headings","Curley, Martha A Q; Watson, R Scott; Cassidy, Amy M; Burns, Cheryl; Delinger, Rachel L; Angus, Derek C; Asaro, Lisa A; Wypij, David; Beers, Sue R"
40622370,Hickey2025,"Hickey, Matthew D",2025,A prospective cohort study of the SEARCH integrated HIV/hypertension community  health worker-led intervention in rural Kenya and Uganda,J Int AIDS Soc,28 Suppl 3,Suppl 3,e26500,10.1002/jia2.26500,Cohort study,"Ignore03_NHLBI exclusion document, category headings","Hickey, Matthew D; Owaraganise, Asiphas; Ogachi, Sabina; Sunday, Helen; Aoko, Colette; Sang, Norton; Agengo, George; Kabami, Jane; Kakande, Elijah; Mugoma, Erick Wafula; Schwab, Josh; Sutter, Nicole; Black, Douglas; Muiru, Anthony; Chamie, Gabriel; Petersen, Maya L; Balzer, Laura B; Bukusi, Elizabeth A; Havlir, Diane V; Kamya, Moses R; Ayieko, James"
36914960,Leite2024,"Leite, Jean Michel R S",2024,"Individually randomized trial mislabeled as a cluster-randomized trial. Comment  on: ""Effectiveness of wearable technology to optimize youth soccer players'  off-training behaviour and training responses: a cluster-randomized trial""",Sci Med Footb,8,3,291,10.1080/24733938.2023.2190998,Comments,"Ignore03_NHLBI exclusion document, category headings","Leite, Jean Michel R S; Jamshidi-Naeini, Jasmine; Vorland, Colby J; Golzarri-Arroyo, Lilian; Allison, David B"
32211886,Li2020,"Li, Fan",2020,Commentary: Right truncation in cluster randomized trials can attenuate the power  of a marginal analysis,Int J Epidemiol,49,3,964-967,10.1093/ije/dyaa037,Comments,"Ignore03_NHLBI exclusion document, category headings","Li, Fan; Harhay, Michael O"
29768150,Semler2018,"Semler, Matthew W",2018,Balanced Crystalloids versus Saline in Critically Ill Adults,N Engl J Med,378,20,1951,10.1056/NEJMc1804294,Comments,"Ignore03_NHLBI exclusion document, category headings","Semler, Matthew W; Self, Wesley H; Rice, Todd W"
31909412,Catley2020,"Catley, Delwyn",2020,Adapting the Diabetes Prevention Program for low- and middle-income countries:  preliminary implementation findings from lifestyle Africa,Transl Behav Med,10,1,46-54,10.1093/tbm/ibz187,Implementation,"Ignore03_NHLBI exclusion document, category headings","Catley, Delwyn; Puoane, Thandi; Goggin, Kathy; Tsolekile, Lungiswa P; Resnicow, Ken; Fleming, Kandace; Smyth, Joshua M; Hurley, Emily A; Schlachter, Sarah; Vitolins, Mara Z; Lambert, Estelle V; Hassen, Mariam; Muhali, Kenneth; Schoor, Rachel"
34791499,Clark2022,"Clark, Taylor L",2022,Process evaluation of a medical assistant health coaching intervention for type 2  diabetes in diverse primary care settings,Transl Behav Med,12,2,350-361,10.1093/tbm/ibab144,Implementation,"Ignore03_NHLBI exclusion document, category headings","Clark, Taylor L; Fortmann, Addie L; Philis-Tsimikas, Athena; Bodenheimer, Thomas; Savin, Kimberly L; Sandoval, Haley; Bravin, Julia I; Gallo, Linda C"
35272263,Gilbert2022,"Gilbert, Amanda",2022,Objective Measures of Physical Activity in Rural Communities: Factors Associated  With a Valid Wear and Lessons Learned,J Phys Act Health,19,4,267-274,10.1123/jpah.2021-0677,Implementation,"Ignore03_NHLBI exclusion document, category headings","Gilbert, Amanda; Beck, Alan; Serrano, Natalicio; Brownson, Ross C"
33538306,Luecking2021,"Luecking, Courtney T",2021,"Fidelity and factors influencing implementation of Healthy Me, Healthy: process  evaluation of a social marketing campaign for diet and physical activity  behaviors of children in childcare",Transl Behav Med,11,3,733-744,10.1093/tbm/ibab001,Implementation,"Ignore03_NHLBI exclusion document, category headings","Luecking, Courtney T; Vaughn, Amber E; Burney, Regan; Hennink-Kaminski, Heidi; Hales, Derek; Ward, Dianne S"
34479556,Pillsbury2021,"Pillsbury, Mc Kinsey M",2021,Human-centered implementation research: a new approach to develop and evaluate  implementation strategies for strengthening referral networks for hypertension in  western Kenya,BMC Health Serv Res,21,1,910,10.1186/s12913-021-06930-2,Implementation,"Ignore03_NHLBI exclusion document, category headings","Pillsbury, Mc Kinsey M; Mwangi, Eunice; Andesia, Josephine; Njuguna, Benson; Bloomfield, Gerald S; Chepchumba, Agneta; Kamano, Jemima; Mercer, Tim; Miheso, Juliet; Pastakia, Sonak D; Pathak, Shravani; Thakkar, Aarti; Naanyu, Violet; Akwanalo, Constantine; Vedanthan, Rajesh"
30728053,Singh2019,"Singh, Kavita",2019,Implementation and acceptability of a heart attack quality improvement  intervention in India: a mixed methods analysis of the ACS QUIK trial,Implement Sci,14,1,12,10.1186/s13012-019-0857-7,Implementation,"Ignore03_NHLBI exclusion document, category headings","Singh, Kavita; Devarajan, Raji; Mohanan, Padinhare P; Baldridge, Abigail S; Kondal, Dimple; Victorson, David E; Karmali, Kunal N; Zhao, Lihui; Lloyd-Jones, Donald M; Prabhakaran, Dorairaj; Goenka, Shifalika; Huffman, Mark D"
29490675,Tian2018,"Tian, Maoyi",2018,"A qualitative evaluation of a simplified cardiovascular management program in  Tibet, China",Global Health,14,1,24,10.1186/s12992-018-0342-0,Implementation,"Ignore03_NHLBI exclusion document, category headings","Tian, Maoyi; Yin, Xuejun; Dunzhu, Danzeng; Liu, Zhong; Li, Cong; Sun, Hao; Song, Ci; Sangzhu, Laba; Patel, Anushka; Redfern, Julie; Yan, Lijing L"
30378521,Tovar2019,"Tovar, Alison",2019,Modifying the Environment and Policy Assessment and Observation (EPAO) to better  capture feeding practices of family childcare home providers,Public Health Nutr,22,2,223-234,10.1017/S1368980018002665,Implementation,"Ignore03_NHLBI exclusion document, category headings","Tovar, Alison; Vaughn, Amber E; Fisher, Jennifer Orlet; Benjamin Neelon, Sara E; Burney, Regan; Webster, Kathleen; Liu, Tao; Ostbye, Truls; Ward, Dianne S"
34280575,Trivedi2021,"Trivedi, Michelle",2021,Incorporating systems-level stakeholder perspectives into the clinical trial  design of school-supervised asthma therapy,Contemp Clin Trials,108,,106510,10.1016/j.cct.2021.106510,Implementation,"Ignore03_NHLBI exclusion document, category headings","Trivedi, Michelle; Hoque, Shushmita; Luther, Janki; Spano, Michelle; Shillan, Holly; Pearl, Hallie; Seay, Hannah; Phipatanakul, Wanda; Gerald, Lynn B; Pbert, Lori"
30107586,Vaughn2019,"Vaughn, Amber E",2019,"Using a social marketing approach to develop Healthy Me, Healthy We: a nutrition  and physical activity intervention in early care and education",Transl Behav Med,9,4,669-681,10.1093/tbm/iby082,Implementation,"Ignore03_NHLBI exclusion document, category headings","Vaughn, Amber E; Bartlett, Rachel; Luecking, Courtney T; Hennink-Kaminski, Heidi; Ward, Dianne S"
32033617,Bell2020,"Bell, Melanie L",2020,The mixed model for repeated measures for cluster randomized trials: a simulation  study investigating bias and type I error with missing continuous data,Trials,21,1,148,10.1186/s13063-020-4114-9,Methods,"Ignore03_NHLBI exclusion document, category headings","Bell, Melanie L; Rabe, Brooke A"
38567439,Blette2024,"Blette, Bryan S",2024,Assessing treatment effect heterogeneity in the presence of missing effect  modifier data in cluster-randomized trials,Stat Methods Med Res,33,5,909-927,10.1177/09622802241242323,Methods,"Ignore03_NHLBI exclusion document, category headings","Blette, Bryan S; Halpern, Scott D; Li, Fan; Harhay, Michael O"
41443760,Fang2025,"Fang, Xi",2025,While-alive regression analysis of composite survival endpoints,Biostatistics,26,1,,10.1093/biostatistics/kxaf047,Methods,"Ignore03_NHLBI exclusion document, category headings","Fang, Xi; Uno, Hajime; Li, Fan"
39963907,Gasparini2025,"Gasparini, Alessandro",2025,Analysis of Cohort Stepped Wedge Cluster-Randomized Trials With Nonignorable  Dropout via Joint Modeling,Stat Med,44,5,e10347,10.1002/sim.10347,Methods,"Ignore03_NHLBI exclusion document, category headings","Gasparini, Alessandro; Crowther, Michael J; Hoogendijk, Emiel O; Li, Fan; Harhay, Michael O"
32078372,GolzarriArroyo2020,"Golzarri-Arroyo, Lilian",2020,Incorrect Analyses of Cluster-Randomized Trials that Do Not Take Clustering and  Nesting into Account Likely Lead to p-Values that Are Too Small,Child Obes,16,2,65-66,10.1089/chi.2019.0142,Methods,"Ignore03_NHLBI exclusion document, category headings","Golzarri-Arroyo, Lilian; Oakes, J Michael; Brown, Andrew W; Allison, David B"
35093646,GolzarriArroyo2022,"Golzarri-Arroyo, Lilian",2022,Evaluation of the type I error rate when using parametric bootstrap analysis of a  cluster randomized controlled trial with binary outcomes and a small number of  clusters,Comput Methods Programs Biomed,215,,106654,10.1016/j.cmpb.2022.106654,Methods,"Ignore03_NHLBI exclusion document, category headings","Golzarri-Arroyo, Lilian; Dickinson, Stephanie L; Jamshidi-Naeini, Yasaman; Zoh, Roger S; Brown, Andrew W; Owora, Arthur H; Li, Peng; Oakes, J Michael; Allison, David B"
39885759,Isenberg2025,"Isenberg, Dane",2025,Weighting methods for truncation by death in cluster-randomized trials,Stat Methods Med Res,34,3,473-489,10.1177/09622802241309348,Methods,"Ignore03_NHLBI exclusion document, category headings","Isenberg, Dane; Harhay, Michael O; Mitra, Nandita; Li, Fan"
35195364,JamshidiNaeini2022,"Jamshidi-Naeini, Yasaman",2022,A practical decision tree to support editorial adjudication of submitted parallel  cluster randomized controlled trials,Obesity (Silver Spring),30,3,565-570,10.1002/oby.23373,Methods,"Ignore03_NHLBI exclusion document, category headings","Jamshidi-Naeini, Yasaman; Brown, Andrew W; Mehta, Tapan; Glueck, Deborah H; Golzarri-Arroyo, Lilian; Muller, Keith E; Tekwe, Carmen D; Allison, David B"
37730572,JamshidiNaeini2023,"Jamshidi-Naeini, Yasaman",2023,"Corrected analysis of ""the effects of bright light treatment on affective  symptoms in people with dementia: a 24-week cluster randomized controlled trial""  that accounts for clustering and nesting verifies conclusions",BMC Psychiatry,23,1,683,10.1186/s12888-023-05180-2,Methods,"Ignore03_NHLBI exclusion document, category headings","Jamshidi-Naeini, Yasaman; Golzarri-Arroyo, Lilian; Siddique, Abu Bakkar; Vorland, Colby J; Rodriguez, Miriam Jocelyn; Holden, Richard J; Allison, David B"
38568721,JamshidiNaeini2024,"Jamshidi-Naeini, Yasaman",2024,Ambiguity in Statistical Analysis Methods and Nonconformity With Prespecified  Commitment to Data Sharing in a Cluster Randomized Controlled Trial,J Med Internet Res,26,,e54090,10.2196/54090,Methods,"Ignore03_NHLBI exclusion document, category headings","Jamshidi-Naeini, Yasaman; Golzarri-Arroyo, Lilian; Thapa, Deependra K; Brown, Andrew W; Kpormegbey, Daniel E; Allison, David B"
37493171,Joyce2023,"Joyce, Nina R",2023,Assessing the representativeness of cluster randomized trials: Evidence from two  large pragmatic trials in United States nursing homes,Clin Trials,20,6,613-623,10.1177/17407745231185055,Methods,"Ignore03_NHLBI exclusion document, category headings","Joyce, Nina R; Robertson, Sarah E; McCreedy, Ellen; Ogarek, Jessica; Davidson, Edward H; Mor, Vincent; Gravenstein, Stefan; Dahabreh, Issa J"
35834775,Kahan2023,"Kahan, Brennan C",2023,Estimands in cluster-randomized trials: choosing analyses that answer the right  question,Int J Epidemiol,52,1,107-118,10.1093/ije/dyac131,Methods,"Ignore03_NHLBI exclusion document, category headings","Kahan, Brennan C; Li, Fan; Copas, Andrew J; Harhay, Michael O"
37439089,Kahan2023a,"Kahan, Brennan C",2023,Informative cluster size in cluster-randomised trials: A case study from the  TRIGGER trial,Clin Trials,20,6,661-669,10.1177/17407745231186094,Methods,"Ignore03_NHLBI exclusion document, category headings","Kahan, Brennan C; Li, Fan; Blette, Bryan; Jairath, Vipul; Copas, Andrew; Harhay, Michael"
38780480,Kahan2024,"Kahan, Brennan C",2024,Demystifying estimands in cluster-randomised trials,Stat Methods Med Res,33,7,1211-1232,10.1177/09622802241254197,Methods,"Ignore03_NHLBI exclusion document, category headings","Kahan, Brennan C; Blette, Bryan S; Harhay, Michael O; Halpern, Scott D; Jairath, Vipul; Copas, Andrew; Li, Fan"
35412010,Katzmarzyk2022,"Katzmarzyk, Peter T",2022,Intraclass correlation coefficients for weight loss cluster randomized trials in  primary care: The PROPEL trial,Clin Obes,12,4,e12524,10.1111/cob.12524,Methods,"Ignore03_NHLBI exclusion document, category headings","Katzmarzyk, Peter T; Denstel, Kara D; Martin, Corby K; Newton, Robert L Jr; Apolzan, John W; Mire, Emily F; Horswell, Ronald; Johnson, William D; Brown, Andrew W; Zhang, Dachuan"
37931183,Kilbourne2024,"Kilbourne, Amy",2024,Adaptive Designs in Implementation Science and Practice: Their Promise and the  Need for Greater Understanding and Improved Communication,Annu Rev Public Health,45,1,69-88,10.1146/annurev-publhealth-060222-014438,Methods,"Ignore03_NHLBI exclusion document, category headings","Kilbourne, Amy; Chinman, Matthew; Rogal, Shari; Almirall, Daniel"
30922358,Krzyzanowski2019,"Krzyzanowski, Brittany",2019,Use of a Geographic Information System to create treatment groups for  group-randomized community trials: The Minnesota Heart Health Program,Trials,20,1,185,10.1186/s13063-019-3284-9,Methods,"Ignore03_NHLBI exclusion document, category headings","Krzyzanowski, Brittany; Manson, Steven M; Eder, Milton Mickey; Kne, Len; Oldenburg, Niki; Peterson, Kevin; Hirsch, Alan T; Luepker, Russell V; Duval, Sue"
40859182,Lo2025,"Lo, Yungtai",2025,Two-part model for ventilator-free days in a cluster randomized cross-over  clinical trial,BMC Med Res Methodol,25,1,200,10.1186/s12874-025-02653-8,Methods,"Ignore03_NHLBI exclusion document, category headings","Lo, Yungtai; Xie, Xianhong; Moskowitz, Ari; Gong, Michelle Ng; Wang, Henry E; Kim, Mimi"
27920364,Matsouaka2018,"Matsouaka, Roland A",2018,An optimal Wilcoxon-Mann-Whitney test of mortality and a continuous outcome,Stat Methods Med Res,27,8,2384-2400,10.1177/0962280216680524,Methods,"Ignore03_NHLBI exclusion document, category headings","Matsouaka, Roland A; Singhal, Aneesh B; Betensky, Rebecca A"
39930740,Owen2025,"Owen, Melody A",2025,Power and Sample Size Calculations for Cluster Randomized Hybrid Type 2  Effectiveness-Implementation Studies,Stat Med,44,5,e70015,10.1002/sim.70015,Methods,"Ignore03_NHLBI exclusion document, category headings","Owen, Melody A; Curran, Geoffrey M; Smith, Justin D; Tedla, Yacob; Cheng, Chao; Spiegelman, Donna"
38846735,Smith2023,"Smith, Justin D",2023,Process of Engaging Community and Scientific Partners in the Development of the  CIRCL-Chicago Study Protocol,Ethn Dis,DECIPHeR,Spec Issue,18-26,10.18865/ed.DECIPHeR.18,Methods,"Ignore03_NHLBI exclusion document, category headings","Smith, Justin D; Carroll, Allison J; Sanuade, Olutobi A; Johnson, Rebecca; Abramsohn, Emily M; Abbas, Hiba; Ahmad, Faraz S; Eggleston, Alice; Lazar, Danielle; Lindau, Stacy Tessler; McHugh, Megan; Mohanty, Nivedita; Philbin, Sarah; Pinkerton, El A; Rosul, Linda L; Merle, James L; Tedla, Yacob G; Walunas, Theresa L; Davis, Paris; Kho, Abel"
36799630,Tong2023,"Tong, Guangyu",2023,A Bayesian Approach for Estimating the Survivor Average Causal Effect When  Outcomes Are Truncated by Death in Cluster-Randomized Trials,Am J Epidemiol,192,6,1006-1015,10.1093/aje/kwad038,Methods,"Ignore03_NHLBI exclusion document, category headings","Tong, Guangyu; Li, Fan; Chen, Xinyuan; Hirani, Shashivadan P; Newman, Stanton P; Wang, Wei; Harhay, Michael O"
38197388,Tong2024,"Tong, Guangyu",2024,Hierarchical Bayesian modeling of heterogeneous outcome variance in cluster  randomized trials,Clin Trials,21,4,451-460,10.1177/17407745231222018,Methods,"Ignore03_NHLBI exclusion document, category headings","Tong, Guangyu; Tong, Jiaqi; Jiang, Yi; Esserman, Denise; Harhay, Michael O; Warren, Joshua L"
37024809,Tong2023a,"Tong, Jiaqi",2023,Accounting for expected attrition in the planning of cluster randomized trials  for assessing treatment effect heterogeneity,BMC Med Res Methodol,23,1,85,10.1186/s12874-023-01887-8,Methods,"Ignore03_NHLBI exclusion document, category headings","Tong, Jiaqi; Li, Fan; Harhay, Michael O; Tong, Guangyu"
34961539,Wang2021,"Wang, Wei",2021,A comparative study of R functions for clustered data analysis,Trials,22,1,959,10.1186/s13063-021-05900-7,Methods,"Ignore03_NHLBI exclusion document, category headings","Wang, Wei; Harhay, Michael O"
37985966,Wang2024,"Wang, Wei",2024,A mixed model approach to estimate the survivor average causal effect in  cluster-randomized trials,Stat Med,43,1,16-33,10.1002/sim.9939,Methods,"Ignore03_NHLBI exclusion document, category headings","Wang, Wei; Tong, Guangyu; Hirani, Shashivadan P; Newman, Stanton P; Halpern, Scott D; Small, Dylan S; Li, Fan; Harhay, Michael O"
37035941,Zhu2024,"Zhu, Angela Y",2024,Leveraging baseline covariates to analyze small cluster-randomized trials with a  rare binary outcome,Biom J,66,1,e2200135,10.1002/bimj.202200135,Methods,"Ignore03_NHLBI exclusion document, category headings","Zhu, Angela Y; Mitra, Nandita; Hemming, Karla; Harhay, Michael O; Li, Fan"
36018846,Beres2022,"Beres, Laura K",2022,Acceptability and feasibility of mobile phone-based ecological momentary  assessment and intervention in Uganda: A pilot randomized controlled trial,PLoS One,17,8,e0273228,10.1371/journal.pone.0273228,Pilot study,"Ignore03_NHLBI exclusion document, category headings","Beres, Laura K; Mbabali, Ismail; Anok, Aggrey; Katabalwa, Charles; Mulamba, Jeremiah; Thomas, Alvin G; Bugos, Eva; Grabowski, Mary K; Nakigozi, Gertrude; Chang, Larry"
36271399,Bonafide2022,"Bonafide, Christopher P",2022,Sustainable deimplementation of continuous pulse oximetry monitoring in children  hospitalized with bronchiolitis: study protocol for the Eliminating Monitor  Overuse (EMO) type III effectiveness-deimplementation cluster-randomized trial,Implement Sci,17,1,72,10.1186/s13012-022-01246-z,Pilot study,"Ignore03_NHLBI exclusion document, category headings","Bonafide, Christopher P; Xiao, Rui; Schondelmeyer, Amanda C; Pettit, Amy R; Brady, Patrick W; Landrigan, Christopher P; Wolk, Courtney Benjamin; Cidav, Zuleyha; Ruppel, Halley; Muthu, Naveen; Williams, Nathaniel J; Schisterman, Enrique; Brent, Canita R; Albanowski, Kimberly; Beidas, Rinad S"
33385279,Clark2021,"Clark, Jesse",2021,"TransPrEP: Results from the Pilot Study of a Social Network-Based Intervention to  Support PrEP Adherence Among Transgender Women in Lima, Peru",AIDS Behav,25,6,1873-1883,10.1007/s10461-020-03117-4,Pilot study,"Ignore03_NHLBI exclusion document, category headings","Clark, Jesse; Reisner, Sari; Perez-Brumer, Amaya; Huerta, Leyla; Sanchez, Hugo; Moriarty, Kathleen; Luque, Maria Mamani; Okochi, Hideaki; Salazar, Ximena; Mimiaga, Matthew; Sanchez, Jorge; Gandhi, Monica; Mayer, Kenneth H; Lama, Javier R"
35081595,Guyette2022,"Guyette, Frank X",2022,Prehospital low titer group O whole blood is feasible and safe: Results of a  prospective randomized pilot trial,J Trauma Acute Care Surg,92,5,839-847,10.1097/TA.0000000000003551,Pilot study,"Ignore03_NHLBI exclusion document, category headings","Guyette, Frank X; Zenati, Mazen; Triulzi, Darrell J; Yazer, Mark H; Skroczky, Hunter; Early, Barbara J; Adams, Peter W; Brown, Joshua B; Alarcon, Louis; Neal, Matthew D; Forsythe, Raquel M; Zuckerbraun, Brian S; Peitzman, Andrew B; Billiar, Timothy R; Sperry, Jason L"
33888536,Lyden2021,"Lyden, Kate",2021,Targeting Sedentary Behavior in CKD: A Pilot and Feasibility Randomized  Controlled Trial,Clin J Am Soc Nephrol,16,5,717-726,10.2215/CJN.12300720,Pilot study,"Ignore03_NHLBI exclusion document, category headings","Lyden, Kate; Boucher, Robert; Wei, Guo; Zhou, Na; Christensen, Jesse; Chertow, Glenn M; Greene, Tom; Beddhu, Srinivasan"
35995130,ODonoghue2022,"O'Donoghue, Julia",2022,Strategies to improve the recruitment and retention of underserved children and  families in clinical trials: A case example of a school-supervised asthma therapy  pilot,Contemp Clin Trials,120,,106884,10.1016/j.cct.2022.106884,Pilot study,"Ignore03_NHLBI exclusion document, category headings","O'Donoghue, Julia; Luther, Janki; Hoque, Shushmita; Mizrahi, Raphael; Spano, Michelle; Frisard, Christine; Garg, Arvin; Crawford, Sybil; Byatt, Nancy; Lemon, Stephenie C; Rosal, Milagros; Pbert, Lori; Trivedi, Michelle"
40036036,Ogungbe2025,"Ogungbe, Oluwabunmi",2025,A Virtual Cardiometabolic Health Program Among African Immigrants in the US: A  Pilot Cluster-Randomized Clinical Trial,JAMA Netw Open,8,3,e2462559,10.1001/jamanetworkopen.2024.62559,Pilot study,"Ignore03_NHLBI exclusion document, category headings","Ogungbe, Oluwabunmi; Hinneh, Thomas; Turkson-Ocran, Ruth-Alma N; Owusu, Loretta; Kumbe, Baridosia; Spaulding, Erin M; Gbaba, Serina; Assani-Uva, Adeline; Mensah, Jasmine; Yeboah-Kordieh, Yvette; Sinyan, Aminata; Ampofo, Margaret; Oyedepo, Faith; Commodore-Mensah, Yvonne"
40848030,Trivedi2025,"Trivedi, Michelle",2025,A Pilot Pragmatic Cluster Randomized Trial of School-Supervised Therapy to  Improve Pediatric Asthma Control,J Allergy Clin Immunol Pract,13,11,2980-2990.e4,10.1016/j.jaip.2025.07.022,Pilot study,"Ignore03_NHLBI exclusion document, category headings","Trivedi, Michelle; Spano, Michelle; Frisard, Christine; Crawford, Sybil; Ryan, Grace; Goulding, Melissa; Radu, Sonia; Arenas, Juliana; Becker, Sarah; Al-Halbouni, Layana; Alter, Jordan; Byatt, Nancy; Phipatanakul, Wanda; Rosal, Milagros C; Lemon, Stephenie C; Gerald, Lynn B; Pbert, Lori"
