task,split,paper_id,promptbook_version,judgment_index,pass_name,model_used,truth,decision,confidence,status,outcome,reasoning,promptbook_evidence,run_id,response_id,configuration_fingerprint,configuration_source,effort,route,transport
exclusion,build,44SJ3WXZ,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,46MFLID4,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,49C5LL2B,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,4B9BMDV7,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,4EYIVLJR,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,4FJHYJ4R,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,4GUDDLNQ,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,4IBT3NAD,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,4ME98BI9,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,4Q7JQUVU,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,4QHFZPVG,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,4RJRGIRQ,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,4T3I54L2,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,4T9MTMMP,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,4X4LV7H7,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,52L6RCJY,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,54ZXRGZ7,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,55D8SN85,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,5B6YAKGZ,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,5CPW9STM,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,5VWZPNEQ,v1,1,primary,claude-sonnet-5,no,yes,0.72,scored,false_positive,"This is a protocol/design paper for an ongoing trial; no post-randomization treatment effect is estimated, only planned methods and power calculations.",E6,,,,,,,
exclusion,build,62TBCTHX,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,65U9AYL7,v1,1,primary,claude-sonnet-5,yes,yes,0.95,scored,true_positive,Explicitly described as a hybrid stepped-wedge cluster randomized trial with staggered crossover of ICUs from control to intervention.,E3,,,,,,,
exclusion,build,69KLSK53,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,6CEJB5CI,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,6IYYT6CC,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,6M6JS3W5,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,6PNE2R2W,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,6QNQDH2P,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,6XFGQN39,v1,1,primary,claude-sonnet-5,no,no,0.85,scored,true_negative,"Protocol for clinician-level cluster RCT with defined primary effectiveness aim; not stepped-wedge, not secondary, not pilot. Protocol status alone is not exclusionary (E12).",E12,,,,,,,
exclusion,build,6XSR8DVR,v1,1,primary,claude-sonnet-5,yes,yes,0.97,scored,true_positive,"Explicitly a pilot trial (title, methods, objective all state pilot); primary outcome is feasibility, halted early.",E13,,,,,,,
exclusion,build,72N55PAH,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,74ARW7SL,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,767M69JK,v1,1,primary,claude-sonnet-5,yes,yes,0.85,scored,true_positive,"Journal labels it 'Commentary/Position Paper' discussing COVID-19 implementation challenges/adaptations, not reporting treatment-effect results.",E16,,,,,,,
exclusion,build,7KTF6M73,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,7M6ST2JQ,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,7MHFEUZL,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,7MXH2IXG,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,7NGXRYU7,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,84YU8UCD,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,88XZGAZQ,v1,1,primary,claude-sonnet-5,yes,yes,0.95,scored,true_positive,Explicitly stepped-wedge cluster-randomized design (E3); also an implementation study of reach/adoption/fidelity (E7).,E3,,,,,,,
exclusion,build,8NC76BQP,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,8R8U6VMX,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,8RFFGGMQ,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,8UI7B8NY,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,8X3V8X64,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,98PU32ET,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,99MJ924A,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,9DKJKFAS,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,9HBYKQR8,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,9LTSBSEE,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,9LX3EYI2,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,9MM6Z5CZ,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,9PGIWTZJ,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,9THPD86J,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,9U8SD7BK,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,9XSGVFTU,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,ABV8X64G,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,AFKVRFM8,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,AQVRGUP7,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,ASUUZY3Z,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,AT7Y2KKR,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,B34VFBK3,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,B3KTU9TU,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,B9YG8GYQ,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,BAABE7JM,v1,1,primary,claude-sonnet-5,no,no,0.85,scored,true_negative,"Protocol for a genuine 4-arm cluster-randomized trial (site-level randomization), defines primary outcome (knowledge); protocol status alone is not exclusionary (E12).",E12,,,,,,,
exclusion,build,BBQSQ5GY,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,BCPZNXV7,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,BJM4IT6J,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,BKND5GCR,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,BLWKH6C8,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,BR4Y6FSS,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,BW2B5H9P,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,BWAGKCVT,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,BYZJM332,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,BZHD4F63,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,C37DMGX6,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,C69UAKKB,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,C9P63S2B,v1,1,primary,claude-sonnet-5,no,yes,0.95,scored,false_positive,Explicitly labeled pilot cluster-randomized trial assessing feasibility of team-focused implementation strategies; also a protocol paper.,E13,,,,,,,
exclusion,build,C9R7RUUN,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,CG56AVM4,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,CKEF67C5,v1,1,primary,claude-sonnet-5,no,no,0.93,scored,true_negative,"Genuine cluster RCT (PCP-level randomization), reports primary outcome with treatment effect estimate; no exclusion criteria apply.",E5,,,,,,,
exclusion,build,CKWBYHEN,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,CMD8N46A,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,CN8B23MZ,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,CR7JWN8H,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,CRIGG2QL,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,CU6USZZG,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,CVNVFN8Y,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,D24FD6G2,v1,1,primary,claude-sonnet-5,no,no,0.9,scored,true_negative,"Pragmatic cluster RCT (physicians randomized) with primary QoL/symptom outcomes reported, treatment effects estimated; no exclusion criteria met.",E5,,,,,,,
exclusion,build,D29P9RKT,v1,1,primary,claude-sonnet-5,yes,yes,0.98,scored,true_positive,"Explicitly described as a cluster randomized, stepped-wedge trial with 5 predefined steps of hospital crossover from control to intervention.",E3,,,,,,,
exclusion,build,D6FQ47HW,v1,1,primary,claude-sonnet-5,yes,yes,0.9,scored,true_positive,"Paper self-declares as a 'secondary analysis of 3 prospective studies' in Key Points; also a prediction-model/ML methods paper, not a cluster-randomized trial.",E5,,,,,,,
exclusion,build,D8BXQHHL,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,DCYTWR4N,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,DEN3TJZ5,v1,1,primary,claude-sonnet-5,yes,yes,0.95,scored,true_positive,Explicitly titled and described as a pilot cluster-randomized clinical trial throughout; authors call it a pilot study.,E13,,,,,,,
exclusion,build,DFJE8ALD,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,DHSYLQCG,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,DKMFB69S,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,DM2HM3XH,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,DSB4NKC5,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,DXI976EC,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,E2MNEMB8,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,E3JZCW7P,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,E5W8I8AR,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,E8BGTQDI,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,EAJAKXKC,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,EBWFU9KS,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,ECH2D7BJ,v1,1,primary,claude-sonnet-5,yes,yes,0.95,scored,true_positive,"Paper explicitly self-declares as secondary analysis of CEASE trial data, with primary trial results published elsewhere (ref 20).",E5,,,,,,,
exclusion,build,EH85EJ36,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,EI9D54I4,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,EIE8ET3D,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,EJY33FGY,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,ERY25CXT,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,EVS2FEUS,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,EZW26HK2,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,F5VFFT7X,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,F7UIGLIK,v1,1,primary,claude-sonnet-5,yes,yes,0.95,scored,true_positive,"Methods paper: develops a new regression estimator/spline framework, validated by simulations and illustrative data analyses, not a trial report.",E8,,,,,,,
exclusion,build,FCXQJYSP,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,FDVX9XTR,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,FEHWGZSQ,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,FGGJHPQ8,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,FHVQQIX3,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,FI4T6J44,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,FMXPAUEI,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,FRK7DQLC,v1,1,primary,claude-sonnet-5,yes,yes,0.9,scored,true_positive,"Uses only cross-sectional, pre-intervention survey data from a cluster RCT; no post-randomization treatment effect estimated; primary trial outcomes reported elsewhere (refs 8,9).",E6,,,,,,,
exclusion,build,FZB8IQSZ,v1,1,primary,claude-sonnet-5,yes,yes,0.97,scored,true_positive,Self-declared cost-effectiveness analysis of a prior cluster RCT; primary trial results published elsewhere (He et al. JAMA 2017).,E5,,,,,,,
exclusion,build,G4WN7HVX,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,G75A8PEN,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,GBK9FE9L,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,GJ9ZU4N5,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,GK558E5R,v1,1,primary,claude-sonnet-5,yes,yes,0.75,scored,true_positive,"Observational analysis of weather/environmental exposures using trial data; not evaluating randomized intervention effect; primary trial results reported elsewhere (refs 31,51).",E5,,,,,,,
exclusion,build,GKVUXT8J,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,GMFGJ3S5,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,GVQJHIGK,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,GX655FV4,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,GYRIVJLS,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,H2HJLXGH,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,H7N83IW2,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,HA9IHJB6,v1,1,primary,claude-sonnet-5,yes,yes,0.97,scored,true_positive,"Explicitly self-declared as an exploratory secondary analysis of the VOICE cluster RCT, pointing to prior publications for primary results.",E5,,,,,,,
exclusion,build,HBD3Y6S2,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,HFCRYZ8E,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,HI3CPFP8,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,HJICVPT7,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,HPIL7WVW,v1,1,primary,claude-sonnet-5,no,no,0.9,scored,true_negative,"Cluster RCT (clinic-randomized), primary quality-of-life outcome with treatment effect estimates, not stepped-wedge, not pilot/secondary/implementation.",E5,,,,,,,
exclusion,build,HRZIZRJP,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,I4N8RJX7,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,I6DQCI97,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,I6GH9T7T,v1,1,primary,claude-sonnet-5,yes,yes,0.97,scored,true_positive,Self-declared secondary/subgroup analysis of GAP-70+ trial; primary trial results published elsewhere (Mohile et al. Lancet 2021).,E5,,,,,,,
exclusion,build,I6KDJ44E,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,IB825UX2,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,IDKFPWGH,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,II5PE99X,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,IJE7MVNS,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,IPP52WKG,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,IPR6QU8P,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,J4BU3EEE,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,JCPBMIPX,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,JDABTKG9,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,JM9T8XDZ,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,JPXXAFJZ,v1,1,primary,claude-sonnet-5,yes,yes,0.97,scored,true_positive,"This is a methods paper explaining estimand choice, estimators, and bias via a hypothetical/simulated example, not a trial report.",E8,,,,,,,
exclusion,build,JQH7C7QZ,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,JW9782P3,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,JZHSJF4P,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,KDH4XJIC,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,KG4JI677,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,KI6F3YXL,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,KMKSIU5U,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,KMRQTRP3,v1,1,primary,claude-sonnet-5,no,no,0.85,scored,true_negative,Cluster RCT of 48 practices with its own primary outcome (missed HPV vaccination opportunities) and quantitative treatment effect estimates; not stepped-wedge or self-declared secondary.,E5,,,,,,,
exclusion,build,KSSYVX7X,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,L2VHUDMD,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,L8CPLJYW,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,LD2EYF43,v1,1,primary,claude-sonnet-5,yes,yes,0.93,scored,true_positive,Paper analyzes only baseline observational data from the cluster-RCT; no post-randomization treatment effect estimated (cross-sectional caregiver-child associations only).,E6,,,,,,,
exclusion,build,LD7CNGD5,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,LGEECHQM,v1,1,primary,claude-sonnet-5,no,no,0.62,scored,true_negative,"Protocol for an actual paired cluster-randomized trial (dormitories), not a stepped-wedge, not self-declared secondary, not a generic methods paper. Protocol status alone isn't exclusionary (E12).",E12,,,,,,,
exclusion,build,LIJH82T5,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,LJW4HEIA,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,LNE655AM,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,LPIT2KM5,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,LRDYLR4Y,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,LSLZLVAS,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,LU33978L,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,LWBKGLCW,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,M36AICFG,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,MCKQDWYQ,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,ME2XJGEW,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,MFCQSDMF,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,MMJBXYNB,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,MPJA6L2H,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,MTLFVN94,v1,1,primary,claude-sonnet-5,no,yes,0.75,scored,false_positive,Protocol paper only; describes planned cRCT methods but reports no post-randomization treatment effect estimate at all.,E6,,,,,,,
exclusion,build,MWYKAIL4,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,NCULGT7Q,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,NCY67FZ9,v1,1,primary,claude-sonnet-5,yes,yes,0.93,scored,true_positive,Paper explicitly states cognition was a secondary outcome of MIPARC trial; primary PA outcomes reported in a separate cited publication (Kerr et al 2018).,E5,,,,,,,
exclusion,build,NFIAY6NV,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,NMNK2UJG,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,NQ4Y7FIA,v1,1,primary,claude-sonnet-5,no,no,0.9,scored,true_negative,Group-randomized trial (30 facilities) with primary hypotheses and post-randomization treatment effects on stress/distress; no exclusion criteria met.,E5,,,,,,,
exclusion,build,NZYS3BX2,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,P6QS3RSX,v1,1,primary,claude-sonnet-5,yes,yes,0.9,scored,true_positive,Cross-sectional analysis of baseline data only from a CRT; no post-randomization treatment effect estimated; intervention effects reported elsewhere (ref 76).,E6,,,,,,,
exclusion,build,PDP273K4,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,PG83SQ3X,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,PIZAETCG,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,PQVNQR33,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,PT2PSKAP,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,PV2Z7J77,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,PVIMTUBL,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,PVP9PWD9,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,PWWEDNNK,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,Q2S96SJ9,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,Q5KYTZM8,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,Q6PZ52E8,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,QEHREYLH,v1,1,primary,claude-sonnet-5,yes,yes,0.97,scored,true_positive,Self-declared pre-specified secondary analysis of the ICU-RESUS cluster RCT; primary trial results reported elsewhere; also observational/propensity-weighted cohort design.,E5,,,,,,,
exclusion,build,QJRBBVLY,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,QLJ7HTJU,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,R2P2KPRE,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,R3FT4BF3,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,R7T6WKEW,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,R8DWVW84,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,RE9NAY8K,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,RKXS5GKB,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,RM444G67,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,S26WZS8D,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,S42UTYP4,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,S47B3QEJ,v1,1,primary,claude-sonnet-5,yes,yes,0.98,scored,true_positive,Explicitly a stepped-wedge cluster randomized trial protocol; design section describes staggered crossover of 16 clinics across steps.,E3,,,,,,,
exclusion,build,S59FZ9BB,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,S6JAD5PD,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,S7VJ7LXE,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,SAT93UFL,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,SFJI363E,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,SGCHKJTH,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,SH5J2R2J,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,SJVU6KJ3,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,SMQ7NINF,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,SRGFMEL6,v1,1,primary,claude-sonnet-5,yes,yes,0.95,scored,true_positive,"Self-declared pre-specified subgroup/sub-analysis of PAIR-UP trial; primary result reported elsewhere (ref 20, JAMA Pediatrics).",E5,,,,,,,
exclusion,build,SU8TVFGH,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,SUANA8ET,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,SZ3FBTVJ,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,TB7DEJ83,v1,1,primary,claude-sonnet-5,yes,yes,0.97,scored,true_positive,Self-declared secondary analysis of baseline surveys from a multi-center cluster-randomized trial; primary results published elsewhere (ref 23).,E5,,,,,,,
exclusion,build,TBFRUAMD,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,TEXLFQSL,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,TGIBPA3M,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,TGSIADX6,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,TUYKW32A,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,TYUTRABV,v1,1,primary,claude-sonnet-5,yes,yes,0.9,scored,true_positive,"Title/text: 'prospective cohort study', single-arm sub-study of phase 2, non-randomized comparison of sequential communities, not a CRT.",E9,,,,,,,
exclusion,build,TZ8BIHD2,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,TZW76NJB,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,U4546RAU,v1,,,,yes,,,missing,missing,,,,,,,,,
